starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 20 12:48:34 2019	1566298114	0	7	7	6
Tue Aug 20 12:48:34 2019	1566298114	1	18	18	5
Tue Aug 20 12:48:43 2019	1566298123	0	25	25	19
Tue Aug 20 12:48:43 2019	1566298123	0	26	26	19
Tue Aug 20 12:48:34 2019	1566298114	1	25	26	10
Tue Aug 20 12:48:49 2019	1566298129	0	27	27	25
Tue Aug 20 12:48:48 2019	1566298128	0	28	28	24
Tue Aug 20 12:48:59 2019	1566298139	0	29	29	27
Tue Aug 20 12:48:48 2019	1566298128	0	30	30	27
Tue Aug 20 12:48:45 2019	1566298125	0	31	31	29
Tue Aug 20 12:48:43 2019	1566298123	0	31	31	20
Tue Aug 20 12:48:54 2019	1566298134	0	31	31	14
Tue Aug 20 12:49:00 2019	1566298140	0	31	31	24
Tue Aug 20 12:48:57 2019	1566298137	0	31	31	20
Tue Aug 20 12:48:54 2019	1566298134	0	32	32	18
Tue Aug 20 12:48:48 2019	1566298128	0	32	32	25
Tue Aug 20 12:49:01 2019	1566298141	0	32	32	23
Tue Aug 20 12:48:42 2019	1566298122	0	32	32	31
Tue Aug 20 12:48:34 2019	1566298114	1	32	33	18
Tue Aug 20 12:48:43 2019	1566298123	0	33	33	31
Tue Aug 20 12:48:38 2019	1566298118	0	33	33	30
Tue Aug 20 12:48:43 2019	1566298123	0	33	33	32
Tue Aug 20 12:49:01 2019	1566298141	0	33	34	17
Tue Aug 20 12:48:52 2019	1566298132	0	34	34	31
Tue Aug 20 12:48:59 2019	1566298139	0	34	34	26
Tue Aug 20 12:48:35 2019	1566298115	0	34	35	29
Tue Aug 20 12:48:59 2019	1566298139	0	35	35	32
Tue Aug 20 12:49:00 2019	1566298140	0	35	35	28
Tue Aug 20 12:48:57 2019	1566298137	0	35	35	27
Tue Aug 20 12:49:01 2019	1566298141	0	35	35	29
Tue Aug 20 12:48:52 2019	1566298132	0	36	36	34
Tue Aug 20 12:48:49 2019	1566298129	0	36	36	31
Tue Aug 20 12:48:51 2019	1566298131	0	36	36	28
Tue Aug 20 12:48:48 2019	1566298128	0	36	36	29
Tue Aug 20 12:48:59 2019	1566298139	0	37	37	30
Tue Aug 20 12:48:53 2019	1566298133	0	37	37	30
Tue Aug 20 12:48:54 2019	1566298134	0	37	37	35
Tue Aug 20 12:48:39 2019	1566298119	0	37	37	28
Tue Aug 20 12:48:59 2019	1566298139	0	37	37	35
Tue Aug 20 12:49:03 2019	1566298143	0	37	37	30
Tue Aug 20 12:48:44 2019	1566298124	0	37	37	35
Tue Aug 20 12:49:01 2019	1566298141	0	37	37	30
Tue Aug 20 12:48:48 2019	1566298128	0	38	38	31
Tue Aug 20 12:48:42 2019	1566298122	0	38	38	28
Tue Aug 20 12:48:34 2019	1566298114	0	38	38	31
Tue Aug 20 12:48:42 2019	1566298122	0	38	38	36
Tue Aug 20 12:48:35 2019	1566298115	0	38	38	33
Tue Aug 20 12:48:55 2019	1566298135	0	39	39	25
Tue Aug 20 12:48:36 2019	1566298116	0	39	39	34
Tue Aug 20 12:48:34 2019	1566298114	1	38	39	25
Tue Aug 20 12:48:38 2019	1566298118	0	39	39	30
Tue Aug 20 12:48:48 2019	1566298128	0	39	39	38
Tue Aug 20 12:48:48 2019	1566298128	0	39	39	38
Tue Aug 20 12:48:56 2019	1566298136	0	39	39	29
Tue Aug 20 12:48:55 2019	1566298135	0	39	39	34
Tue Aug 20 12:48:44 2019	1566298124	0	40	40	38
Tue Aug 20 12:48:44 2019	1566298124	0	40	40	39
Tue Aug 20 12:48:45 2019	1566298125	0	40	40	34
Tue Aug 20 12:48:48 2019	1566298128	0	40	40	30
Tue Aug 20 12:49:03 2019	1566298143	0	40	40	29
Tue Aug 20 12:48:35 2019	1566298115	0	40	40	31
Tue Aug 20 12:48:45 2019	1566298125	0	40	40	39
Tue Aug 20 12:48:36 2019	1566298116	0	40	40	33
Tue Aug 20 12:48:45 2019	1566298125	0	40	40	39
Tue Aug 20 12:48:39 2019	1566298119	0	40	40	27
Tue Aug 20 12:48:54 2019	1566298134	0	40	41	38
Tue Aug 20 12:48:51 2019	1566298131	0	41	41	29
Tue Aug 20 12:48:39 2019	1566298119	0	41	41	31
Tue Aug 20 12:48:44 2019	1566298124	0	41	41	9
Tue Aug 20 12:48:47 2019	1566298127	0	41	41	31
Tue Aug 20 12:49:02 2019	1566298142	0	41	41	30
Tue Aug 20 12:48:36 2019	1566298116	0	41	41	36
Tue Aug 20 12:49:03 2019	1566298143	0	41	41	10
Tue Aug 20 12:48:48 2019	1566298128	0	41	41	31
Tue Aug 20 12:48:41 2019	1566298121	0	41	41	32
Tue Aug 20 12:49:00 2019	1566298140	0	41	41	34
Tue Aug 20 12:49:02 2019	1566298142	0	41	41	34
Tue Aug 20 12:48:44 2019	1566298124	0	41	42	34
Tue Aug 20 12:48:58 2019	1566298138	0	42	42	27
Tue Aug 20 12:49:02 2019	1566298142	0	42	42	40
Tue Aug 20 12:49:02 2019	1566298142	0	42	42	38
Tue Aug 20 12:48:44 2019	1566298124	0	42	42	41
Tue Aug 20 12:49:00 2019	1566298140	0	42	42	39
Tue Aug 20 12:48:47 2019	1566298127	0	42	42	38
Tue Aug 20 12:49:02 2019	1566298142	0	42	42	36
Tue Aug 20 12:48:36 2019	1566298116	0	42	42	37
Tue Aug 20 12:48:51 2019	1566298131	0	42	42	35
Tue Aug 20 12:48:39 2019	1566298119	0	42	42	41
Tue Aug 20 12:48:58 2019	1566298138	0	42	42	37
Tue Aug 20 12:48:48 2019	1566298128	0	42	42	35
Tue Aug 20 12:49:01 2019	1566298141	0	43	43	36
Tue Aug 20 12:48:36 2019	1566298116	0	43	43	38
Tue Aug 20 12:49:01 2019	1566298141	0	43	43	35
Tue Aug 20 12:48:36 2019	1566298116	0	43	43	34
Tue Aug 20 12:48:54 2019	1566298134	0	43	43	42
Tue Aug 20 12:48:49 2019	1566298129	0	43	43	36
Tue Aug 20 12:48:44 2019	1566298124	0	43	43	28
Tue Aug 20 12:48:54 2019	1566298134	0	43	43	15
Tue Aug 20 12:48:58 2019	1566298138	0	43	43	32
Tue Aug 20 12:48:49 2019	1566298129	0	43	43	33
Tue Aug 20 12:48:44 2019	1566298124	0	43	43	36
Tue Aug 20 12:49:03 2019	1566298143	0	43	43	36
Tue Aug 20 12:49:00 2019	1566298140	0	43	43	32
Tue Aug 20 12:48:58 2019	1566298138	0	43	43	41
Tue Aug 20 12:49:03 2019	1566298143	0	43	44	41
Tue Aug 20 12:48:35 2019	1566298115	0	44	44	32
Tue Aug 20 12:49:02 2019	1566298142	0	44	44	29
Tue Aug 20 12:48:57 2019	1566298137	0	44	44	35
Tue Aug 20 12:49:01 2019	1566298141	0	44	44	36
Tue Aug 20 12:48:56 2019	1566298136	0	44	44	35
Tue Aug 20 12:49:01 2019	1566298141	0	44	44	42
Tue Aug 20 12:48:58 2019	1566298138	0	44	44	33
Tue Aug 20 12:48:43 2019	1566298123	0	44	44	34
Tue Aug 20 12:49:02 2019	1566298142	0	44	44	30
Tue Aug 20 12:48:39 2019	1566298119	0	44	44	37
Tue Aug 20 12:48:35 2019	1566298115	0	44	44	32
Tue Aug 20 12:48:35 2019	1566298115	0	44	44	36
Tue Aug 20 12:48:53 2019	1566298133	0	44	44	35
Tue Aug 20 12:48:35 2019	1566298115	0	44	45	39
Tue Aug 20 12:48:41 2019	1566298121	0	45	45	38
Tue Aug 20 12:49:04 2019	1566298144	0	45	45	31
Tue Aug 20 12:48:35 2019	1566298115	0	45	45	30
Tue Aug 20 12:48:58 2019	1566298138	0	45	45	28
Tue Aug 20 12:48:36 2019	1566298116	0	45	45	38
Tue Aug 20 12:48:35 2019	1566298115	0	45	45	38
Tue Aug 20 12:48:54 2019	1566298134	0	45	45	18
Tue Aug 20 12:48:48 2019	1566298128	0	45	45	29
Tue Aug 20 12:48:39 2019	1566298119	0	45	45	37
Tue Aug 20 12:48:42 2019	1566298122	0	45	45	43
Tue Aug 20 12:48:44 2019	1566298124	0	45	45	26
Tue Aug 20 12:48:36 2019	1566298116	0	45	45	38
Tue Aug 20 12:48:58 2019	1566298138	0	45	45	22
Tue Aug 20 12:49:04 2019	1566298144	0	45	45	36
Tue Aug 20 12:48:56 2019	1566298136	0	45	45	37
Tue Aug 20 12:48:36 2019	1566298116	0	45	45	44
Tue Aug 20 12:48:48 2019	1566298128	0	45	45	36
Tue Aug 20 12:48:35 2019	1566298115	0	45	45	39
Tue Aug 20 12:49:04 2019	1566298144	0	45	45	43
Tue Aug 20 12:48:52 2019	1566298132	0	45	45	25
Tue Aug 20 12:48:37 2019	1566298117	0	45	45	31
Tue Aug 20 12:48:48 2019	1566298128	0	45	45	37
Tue Aug 20 12:48:49 2019	1566298129	0	45	45	39
Tue Aug 20 12:49:04 2019	1566298144	0	45	45	43
Tue Aug 20 12:48:37 2019	1566298117	0	46	46	36
Tue Aug 20 12:48:45 2019	1566298125	0	46	46	43
Tue Aug 20 12:48:35 2019	1566298115	0	46	46	33
Tue Aug 20 12:48:52 2019	1566298132	0	46	46	40
Tue Aug 20 12:48:42 2019	1566298122	0	46	46	38
Tue Aug 20 12:48:36 2019	1566298116	0	46	46	41
Tue Aug 20 12:49:03 2019	1566298143	0	46	46	39
Tue Aug 20 12:48:52 2019	1566298132	0	46	46	34
Tue Aug 20 12:48:57 2019	1566298137	0	46	46	34
Tue Aug 20 12:48:47 2019	1566298127	0	46	46	37
Tue Aug 20 12:48:36 2019	1566298116	0	46	46	41
Tue Aug 20 12:48:40 2019	1566298120	0	46	46	44
Tue Aug 20 12:48:54 2019	1566298134	0	46	46	21
Tue Aug 20 12:48:49 2019	1566298129	0	46	46	32
Tue Aug 20 12:49:00 2019	1566298140	0	46	46	34
Tue Aug 20 12:49:01 2019	1566298141	0	46	46	39
Tue Aug 20 12:48:36 2019	1566298116	0	46	46	38
Tue Aug 20 12:48:47 2019	1566298127	0	46	46	45
Tue Aug 20 12:48:53 2019	1566298133	0	46	46	44
Tue Aug 20 12:48:39 2019	1566298119	0	46	46	33
Tue Aug 20 12:48:37 2019	1566298117	0	46	46	38
Tue Aug 20 12:48:48 2019	1566298128	0	46	46	18
Tue Aug 20 12:48:55 2019	1566298135	0	46	46	39
Tue Aug 20 12:48:44 2019	1566298124	0	46	46	20
Tue Aug 20 12:48:51 2019	1566298131	0	46	46	36
Tue Aug 20 12:48:36 2019	1566298116	0	46	47	40
