starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 20 12:49:22 2019	1566298162	0	4	4	3
Tue Aug 20 12:49:12 2019	1566298152	0	4	4	4
Tue Aug 20 12:49:20 2019	1566298160	0	4	4	4
Tue Aug 20 12:49:22 2019	1566298162	0	4	4	4
Tue Aug 20 12:49:17 2019	1566298157	0	4	4	4
Tue Aug 20 12:49:34 2019	1566298174	0	4	4	4
Tue Aug 20 12:49:12 2019	1566298152	0	4	4	4
Tue Aug 20 12:49:12 2019	1566298152	0	4	4	4
Tue Aug 20 12:49:15 2019	1566298155	0	4	4	4
Tue Aug 20 12:49:13 2019	1566298153	0	4	4	4
Tue Aug 20 12:49:25 2019	1566298165	0	4	4	4
Tue Aug 20 12:49:06 2019	1566298146	0	4	4	4
Tue Aug 20 12:49:30 2019	1566298170	0	4	4	4
Tue Aug 20 12:49:22 2019	1566298162	0	4	4	4
Tue Aug 20 12:49:30 2019	1566298170	0	4	4	4
Tue Aug 20 12:49:29 2019	1566298169	0	4	4	4
Tue Aug 20 12:49:28 2019	1566298168	0	4	4	4
Tue Aug 20 12:49:20 2019	1566298160	0	4	4	4
Tue Aug 20 12:49:31 2019	1566298171	0	4	4	4
Tue Aug 20 12:49:07 2019	1566298147	0	4	4	4
Tue Aug 20 12:49:12 2019	1566298152	0	4	4	4
Tue Aug 20 12:49:06 2019	1566298146	0	4	4	4
Tue Aug 20 12:49:08 2019	1566298148	0	4	4	4
Tue Aug 20 12:49:24 2019	1566298164	0	4	4	4
Tue Aug 20 12:49:24 2019	1566298164	0	4	4	4
Tue Aug 20 12:49:27 2019	1566298167	0	4	4	4
Tue Aug 20 12:49:12 2019	1566298152	0	4	4	4
Tue Aug 20 12:49:16 2019	1566298156	0	4	4	4
Tue Aug 20 12:49:33 2019	1566298173	0	4	4	4
Tue Aug 20 12:49:08 2019	1566298148	0	4	4	4
Tue Aug 20 12:49:08 2019	1566298148	0	4	4	4
Tue Aug 20 12:49:18 2019	1566298158	0	4	4	4
Tue Aug 20 12:49:30 2019	1566298170	0	4	4	4
Tue Aug 20 12:49:08 2019	1566298148	0	4	4	4
Tue Aug 20 12:49:10 2019	1566298150	0	4	4	4
Tue Aug 20 12:49:19 2019	1566298159	0	4	4	4
Tue Aug 20 12:49:14 2019	1566298154	0	4	4	4
Tue Aug 20 12:49:33 2019	1566298173	0	4	4	4
Tue Aug 20 12:49:31 2019	1566298171	0	4	4	4
Tue Aug 20 12:49:17 2019	1566298157	0	4	4	4
Tue Aug 20 12:49:11 2019	1566298151	0	4	4	4
Tue Aug 20 12:49:23 2019	1566298163	0	4	4	4
