starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 20 12:48:18 2019	1566298098	0	3	3	3
Tue Aug 20 12:48:31 2019	1566298111	0	3	4	3
Tue Aug 20 12:48:27 2019	1566298107	0	4	4	3
Tue Aug 20 12:48:29 2019	1566298109	0	4	4	3
Tue Aug 20 12:48:17 2019	1566298097	0	4	4	3
Tue Aug 20 12:48:10 2019	1566298090	0	4	4	3
Tue Aug 20 12:48:18 2019	1566298098	0	4	4	4
Tue Aug 20 12:48:15 2019	1566298095	0	4	4	3
Tue Aug 20 12:48:18 2019	1566298098	0	4	4	3
Tue Aug 20 12:48:11 2019	1566298091	0	4	4	4
Tue Aug 20 12:48:11 2019	1566298091	0	4	4	3
Tue Aug 20 12:48:18 2019	1566298098	0	4	4	4
Tue Aug 20 12:48:11 2019	1566298091	0	4	4	4
Tue Aug 20 12:48:29 2019	1566298109	0	4	4	4
Tue Aug 20 12:48:23 2019	1566298103	0	4	4	3
Tue Aug 20 12:48:17 2019	1566298097	0	4	4	4
Tue Aug 20 12:48:05 2019	1566298085	0	4	4	4
Tue Aug 20 12:48:06 2019	1566298086	0	4	4	4
Tue Aug 20 12:48:11 2019	1566298091	0	4	4	4
Tue Aug 20 12:48:11 2019	1566298091	0	4	4	4
Tue Aug 20 12:48:15 2019	1566298095	0	4	4	4
Tue Aug 20 12:48:11 2019	1566298091	0	4	4	4
Tue Aug 20 12:48:24 2019	1566298104	0	4	4	4
Tue Aug 20 12:48:19 2019	1566298099	0	4	4	4
Tue Aug 20 12:48:29 2019	1566298109	0	4	4	4
Tue Aug 20 12:48:31 2019	1566298111	0	4	4	4
Tue Aug 20 12:48:11 2019	1566298091	0	4	4	4
Tue Aug 20 12:48:06 2019	1566298086	0	4	4	4
Tue Aug 20 12:48:12 2019	1566298092	0	4	4	3
Tue Aug 20 12:48:17 2019	1566298097	0	4	4	4
Tue Aug 20 12:48:20 2019	1566298100	0	4	4	4
Tue Aug 20 12:48:24 2019	1566298104	0	4	4	4
Tue Aug 20 12:48:09 2019	1566298089	0	4	4	4
Tue Aug 20 12:48:19 2019	1566298099	0	4	4	4
Tue Aug 20 12:48:18 2019	1566298098	0	4	4	4
Tue Aug 20 12:48:08 2019	1566298088	0	4	4	4
Tue Aug 20 12:48:26 2019	1566298106	0	4	4	4
Tue Aug 20 12:48:17 2019	1566298097	0	4	4	4
Tue Aug 20 12:48:08 2019	1566298088	0	4	4	4
Tue Aug 20 12:48:21 2019	1566298101	0	4	4	4
