starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 18 00:38:43 2019	1566081523	0	67	67	67
Sun Aug 18 00:39:08 2019	1566081548	0	93	93	93
Sun Aug 18 00:39:13 2019	1566081553	0	93	93	93
Sun Aug 18 00:39:00 2019	1566081540	0	93	93	93
Sun Aug 18 00:38:57 2019	1566081537	0	93	94	93
Sun Aug 18 00:38:47 2019	1566081527	0	93	94	93
Sun Aug 18 00:39:03 2019	1566081543	0	94	94	93
Sun Aug 18 00:38:50 2019	1566081530	0	94	94	93
Sun Aug 18 00:39:04 2019	1566081544	0	94	94	94
Sun Aug 18 00:39:03 2019	1566081543	0	94	94	94
Sun Aug 18 00:38:52 2019	1566081532	0	94	94	94
Sun Aug 18 00:38:52 2019	1566081532	0	94	94	94
Sun Aug 18 00:39:06 2019	1566081546	0	94	94	94
Sun Aug 18 00:39:02 2019	1566081542	0	94	94	93
Sun Aug 18 00:38:53 2019	1566081533	0	94	94	94
Sun Aug 18 00:38:50 2019	1566081530	0	94	94	94
Sun Aug 18 00:39:08 2019	1566081548	0	94	94	94
Sun Aug 18 00:39:03 2019	1566081543	0	94	94	94
Sun Aug 18 00:38:50 2019	1566081530	0	94	94	94
Sun Aug 18 00:39:01 2019	1566081541	0	94	94	94
Sun Aug 18 00:39:00 2019	1566081540	0	94	94	94
Sun Aug 18 00:38:48 2019	1566081528	0	94	94	94
Sun Aug 18 00:39:05 2019	1566081545	0	94	94	94
Sun Aug 18 00:38:56 2019	1566081536	0	94	94	94
Sun Aug 18 00:38:58 2019	1566081538	0	94	94	94
Sun Aug 18 00:38:44 2019	1566081524	0	94	94	94
Sun Aug 18 00:39:05 2019	1566081545	0	94	94	94
Sun Aug 18 00:39:00 2019	1566081540	0	94	94	94
Sun Aug 18 00:39:12 2019	1566081552	0	94	94	94
Sun Aug 18 00:39:05 2019	1566081545	0	94	94	94
Sun Aug 18 00:38:56 2019	1566081536	0	94	95	94
Sun Aug 18 00:38:55 2019	1566081535	0	94	95	94
Sun Aug 18 00:38:49 2019	1566081529	0	94	95	94
Sun Aug 18 00:38:57 2019	1566081537	0	94	95	94
Sun Aug 18 00:39:12 2019	1566081552	0	95	95	94
Sun Aug 18 00:39:05 2019	1566081545	0	95	95	94
Sun Aug 18 00:38:46 2019	1566081526	0	95	95	94
Sun Aug 18 00:38:50 2019	1566081530	0	95	95	95
Sun Aug 18 00:38:44 2019	1566081524	0	95	95	95
Sun Aug 18 00:38:54 2019	1566081534	0	95	95	94
Sun Aug 18 00:38:47 2019	1566081527	0	95	95	94
Sun Aug 18 00:38:49 2019	1566081529	0	95	95	94
Sun Aug 18 00:39:10 2019	1566081550	0	95	95	94
Sun Aug 18 00:38:55 2019	1566081535	0	95	95	95
Sun Aug 18 00:38:53 2019	1566081533	0	95	95	95
Sun Aug 18 00:38:54 2019	1566081534	0	95	95	94
Sun Aug 18 00:38:55 2019	1566081535	0	95	95	95
Sun Aug 18 00:38:55 2019	1566081535	0	95	95	94
Sun Aug 18 00:39:03 2019	1566081543	0	95	95	95
Sun Aug 18 00:38:45 2019	1566081525	0	95	95	95
Sun Aug 18 00:38:47 2019	1566081527	0	95	95	95
Sun Aug 18 00:39:05 2019	1566081545	0	95	95	94
Sun Aug 18 00:39:04 2019	1566081544	0	95	95	95
Sun Aug 18 00:39:08 2019	1566081548	0	95	95	94
Sun Aug 18 00:39:08 2019	1566081548	0	95	95	95
Sun Aug 18 00:39:06 2019	1566081546	0	95	95	95
Sun Aug 18 00:39:02 2019	1566081542	0	95	95	94
Sun Aug 18 00:39:04 2019	1566081544	0	95	95	95
Sun Aug 18 00:38:56 2019	1566081536	0	95	95	94
Sun Aug 18 00:39:00 2019	1566081540	0	95	95	95
Sun Aug 18 00:38:56 2019	1566081536	0	95	95	95
Sun Aug 18 00:39:10 2019	1566081550	0	95	95	95
Sun Aug 18 00:39:03 2019	1566081543	0	95	95	95
Sun Aug 18 00:39:11 2019	1566081551	0	95	95	95
Sun Aug 18 00:39:10 2019	1566081550	0	95	95	95
Sun Aug 18 00:39:08 2019	1566081548	0	95	95	95
Sun Aug 18 00:38:47 2019	1566081527	0	95	95	95
Sun Aug 18 00:38:49 2019	1566081529	0	95	95	95
Sun Aug 18 00:38:49 2019	1566081529	0	95	95	95
Sun Aug 18 00:38:43 2019	1566081523	0	95	95	95
Sun Aug 18 00:39:00 2019	1566081540	0	95	95	95
Sun Aug 18 00:38:55 2019	1566081535	0	95	95	95
Sun Aug 18 00:38:48 2019	1566081528	0	95	95	95
Sun Aug 18 00:38:46 2019	1566081526	0	95	95	95
Sun Aug 18 00:38:46 2019	1566081526	0	95	95	95
