starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 18 00:40:44 2019	1566081644	0	5	5	4
Sun Aug 18 00:40:44 2019	1566081644	1	15	16	5
Sun Aug 18 00:40:44 2019	1566081644	1	16	17	15
Sun Aug 18 00:41:05 2019	1566081665	0	24	24	19
Sun Aug 18 00:40:44 2019	1566081644	1	28	28	10
Sun Aug 18 00:41:11 2019	1566081671	0	28	29	24
Sun Aug 18 00:41:11 2019	1566081671	0	32	32	31
Sun Aug 18 00:40:46 2019	1566081646	0	32	32	19
Sun Aug 18 00:41:11 2019	1566081671	0	32	32	27
Sun Aug 18 00:40:58 2019	1566081658	0	33	33	12
Sun Aug 18 00:40:50 2019	1566081650	0	34	34	25
Sun Aug 18 00:40:46 2019	1566081646	0	34	34	27
Sun Aug 18 00:40:53 2019	1566081653	0	34	34	11
Sun Aug 18 00:40:58 2019	1566081658	0	34	34	26
Sun Aug 18 00:40:58 2019	1566081658	0	34	34	32
Sun Aug 18 00:40:46 2019	1566081646	0	34	34	32
Sun Aug 18 00:41:04 2019	1566081664	0	35	35	34
Sun Aug 18 00:41:12 2019	1566081672	0	35	35	32
Sun Aug 18 00:40:46 2019	1566081646	0	35	35	23
Sun Aug 18 00:40:58 2019	1566081658	0	35	35	18
Sun Aug 18 00:41:11 2019	1566081671	0	35	35	33
Sun Aug 18 00:41:11 2019	1566081671	0	35	35	33
Sun Aug 18 00:40:45 2019	1566081645	0	36	36	34
Sun Aug 18 00:41:11 2019	1566081671	0	36	36	31
Sun Aug 18 00:40:54 2019	1566081654	0	36	36	34
Sun Aug 18 00:41:11 2019	1566081671	0	36	36	32
Sun Aug 18 00:40:44 2019	1566081644	1	36	37	28
Sun Aug 18 00:40:46 2019	1566081646	0	37	37	27
Sun Aug 18 00:41:11 2019	1566081671	0	37	37	36
Sun Aug 18 00:41:09 2019	1566081669	0	37	37	29
Sun Aug 18 00:41:06 2019	1566081666	0	38	38	28
Sun Aug 18 00:41:03 2019	1566081663	0	38	38	30
Sun Aug 18 00:40:46 2019	1566081646	0	38	38	20
Sun Aug 18 00:41:11 2019	1566081671	0	38	38	31
Sun Aug 18 00:40:44 2019	1566081644	0	38	38	31
Sun Aug 18 00:41:00 2019	1566081660	0	38	39	31
Sun Aug 18 00:41:11 2019	1566081671	0	38	39	27
Sun Aug 18 00:40:46 2019	1566081646	0	39	39	29
Sun Aug 18 00:41:11 2019	1566081671	0	39	39	32
Sun Aug 18 00:41:11 2019	1566081671	0	39	39	34
Sun Aug 18 00:40:52 2019	1566081652	0	39	39	37
Sun Aug 18 00:41:04 2019	1566081664	0	39	39	31
Sun Aug 18 00:40:55 2019	1566081655	0	39	39	30
Sun Aug 18 00:41:11 2019	1566081671	0	39	39	31
Sun Aug 18 00:41:01 2019	1566081661	0	39	39	36
Sun Aug 18 00:40:54 2019	1566081654	0	40	40	38
Sun Aug 18 00:40:54 2019	1566081654	0	40	40	27
Sun Aug 18 00:41:02 2019	1566081662	0	40	40	32
Sun Aug 18 00:40:49 2019	1566081649	0	40	40	31
Sun Aug 18 00:40:53 2019	1566081653	0	40	40	15
Sun Aug 18 00:40:54 2019	1566081654	0	40	40	38
Sun Aug 18 00:41:06 2019	1566081666	0	40	40	33
Sun Aug 18 00:41:09 2019	1566081669	0	40	40	33
Sun Aug 18 00:41:00 2019	1566081660	0	40	40	35
Sun Aug 18 00:41:11 2019	1566081671	0	41	41	27
Sun Aug 18 00:41:02 2019	1566081662	0	40	41	39
Sun Aug 18 00:40:47 2019	1566081647	0	41	41	39
Sun Aug 18 00:40:50 2019	1566081650	0	41	41	25
Sun Aug 18 00:41:07 2019	1566081667	0	41	41	27
Sun Aug 18 00:40:54 2019	1566081654	0	41	41	34
Sun Aug 18 00:40:52 2019	1566081652	0	41	41	33
Sun Aug 18 00:41:05 2019	1566081665	0	41	41	40
Sun Aug 18 00:41:09 2019	1566081669	0	41	41	41
Sun Aug 18 00:40:54 2019	1566081654	0	41	42	35
Sun Aug 18 00:40:54 2019	1566081654	0	41	42	39
Sun Aug 18 00:41:08 2019	1566081668	0	42	42	40
Sun Aug 18 00:40:54 2019	1566081654	0	42	42	34
Sun Aug 18 00:41:11 2019	1566081671	0	42	42	31
Sun Aug 18 00:41:11 2019	1566081671	0	42	42	41
Sun Aug 18 00:40:58 2019	1566081658	0	42	42	29
Sun Aug 18 00:40:52 2019	1566081652	0	42	42	23
Sun Aug 18 00:41:06 2019	1566081666	0	42	42	40
Sun Aug 18 00:40:57 2019	1566081657	0	42	42	12
Sun Aug 18 00:40:50 2019	1566081650	0	42	42	25
Sun Aug 18 00:40:55 2019	1566081655	0	42	42	33
Sun Aug 18 00:41:11 2019	1566081671	0	42	42	31
Sun Aug 18 00:41:11 2019	1566081671	0	42	42	35
Sun Aug 18 00:41:02 2019	1566081662	0	42	42	41
Sun Aug 18 00:40:46 2019	1566081646	0	42	42	26
Sun Aug 18 00:40:58 2019	1566081658	0	42	42	32
Sun Aug 18 00:40:44 2019	1566081644	1	42	43	29
Sun Aug 18 00:40:52 2019	1566081652	0	43	43	40
Sun Aug 18 00:41:11 2019	1566081671	0	43	43	31
Sun Aug 18 00:41:06 2019	1566081666	0	43	43	34
Sun Aug 18 00:40:54 2019	1566081654	0	43	43	42
Sun Aug 18 00:41:05 2019	1566081665	0	43	43	34
Sun Aug 18 00:40:52 2019	1566081652	0	43	43	7
Sun Aug 18 00:41:01 2019	1566081661	0	43	43	37
Sun Aug 18 00:40:45 2019	1566081645	0	43	43	34
Sun Aug 18 00:40:51 2019	1566081651	0	43	43	38
Sun Aug 18 00:40:58 2019	1566081658	0	43	43	36
Sun Aug 18 00:40:52 2019	1566081652	0	43	43	27
Sun Aug 18 00:40:53 2019	1566081653	0	43	43	42
Sun Aug 18 00:40:50 2019	1566081650	0	43	43	27
Sun Aug 18 00:40:50 2019	1566081650	0	43	43	17
Sun Aug 18 00:41:09 2019	1566081669	0	43	43	30
