starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 22 15:02:53 2019	1561215773	0	22	23	20
Sat Jun 22 15:02:53 2019	1561215773	0	22	23	14
Sat Jun 22 15:03:06 2019	1561215786	0	23	23	22
Sat Jun 22 15:03:02 2019	1561215782	0	24	24	17
Sat Jun 22 15:03:02 2019	1561215782	0	25	25	11
Sat Jun 22 15:02:47 2019	1561215767	0	26	26	25
Sat Jun 22 15:02:53 2019	1561215773	0	26	27	26
Sat Jun 22 15:02:51 2019	1561215771	0	26	27	21
Sat Jun 22 15:03:06 2019	1561215786	3	27	29	19
Sat Jun 22 15:03:11 2019	1561215791	0	29	30	21
Sat Jun 22 15:02:55 2019	1561215775	0	30	30	28
Sat Jun 22 15:03:00 2019	1561215780	0	30	30	27
Sat Jun 22 15:02:53 2019	1561215773	0	30	30	28
Sat Jun 22 15:02:48 2019	1561215768	0	30	30	28
Sat Jun 22 15:02:53 2019	1561215773	0	30	30	7
Sat Jun 22 15:03:05 2019	1561215785	0	30	31	30
Sat Jun 22 15:03:05 2019	1561215785	0	30	31	21
Sat Jun 22 15:03:09 2019	1561215789	0	31	31	26
Sat Jun 22 15:02:52 2019	1561215772	0	31	31	23
Sat Jun 22 15:03:01 2019	1561215781	0	31	32	21
Sat Jun 22 15:02:56 2019	1561215776	0	32	32	31
Sat Jun 22 15:02:56 2019	1561215776	0	32	32	30
Sat Jun 22 15:03:00 2019	1561215780	0	32	33	12
Sat Jun 22 15:02:57 2019	1561215777	0	33	33	14
Sat Jun 22 15:02:55 2019	1561215775	0	32	33	32
Sat Jun 22 15:02:54 2019	1561215774	0	33	33	32
Sat Jun 22 15:02:47 2019	1561215767	0	33	33	31
Sat Jun 22 15:02:53 2019	1561215773	0	33	33	13
Sat Jun 22 15:03:00 2019	1561215780	0	33	34	11
Sat Jun 22 15:02:54 2019	1561215774	0	34	34	27
Sat Jun 22 15:02:48 2019	1561215768	0	34	34	33
Sat Jun 22 15:03:05 2019	1561215785	0	34	34	33
Sat Jun 22 15:03:00 2019	1561215780	0	34	34	26
Sat Jun 22 15:03:08 2019	1561215788	0	34	34	24
Sat Jun 22 15:03:03 2019	1561215783	0	34	34	31
Sat Jun 22 15:02:53 2019	1561215773	0	34	34	34
Sat Jun 22 15:02:46 2019	1561215766	0	34	34	33
Sat Jun 22 15:03:11 2019	1561215791	0	34	34	31
Sat Jun 22 15:02:51 2019	1561215771	0	34	35	33
Sat Jun 22 15:02:58 2019	1561215778	0	34	35	27
Sat Jun 22 15:02:53 2019	1561215773	0	34	35	13
Sat Jun 22 15:02:52 2019	1561215772	0	35	35	28
Sat Jun 22 15:02:46 2019	1561215766	0	35	35	33
Sat Jun 22 15:03:00 2019	1561215780	0	35	35	25
Sat Jun 22 15:03:08 2019	1561215788	0	35	35	19
Sat Jun 22 15:03:11 2019	1561215791	0	35	35	14
Sat Jun 22 15:02:43 2019	1561215763	0	35	36	27
Sat Jun 22 15:02:43 2019	1561215763	0	35	36	18
Sat Jun 22 15:02:43 2019	1561215763	0	35	36	34
Sat Jun 22 15:03:05 2019	1561215785	0	35	36	19
Sat Jun 22 15:02:53 2019	1561215773	0	35	36	7
Sat Jun 22 15:02:57 2019	1561215777	0	36	36	35
Sat Jun 22 15:02:46 2019	1561215766	0	36	36	34
Sat Jun 22 15:03:04 2019	1561215784	0	36	36	35
Sat Jun 22 15:03:06 2019	1561215786	0	36	36	34
Sat Jun 22 15:02:57 2019	1561215777	0	36	36	29
Sat Jun 22 15:03:11 2019	1561215791	0	36	36	20
Sat Jun 22 15:03:06 2019	1561215786	0	36	36	29
Sat Jun 22 15:03:10 2019	1561215790	0	36	36	31
Sat Jun 22 15:02:44 2019	1561215764	0	36	36	35
Sat Jun 22 15:02:52 2019	1561215772	1	36	36	21
Sat Jun 22 15:03:06 2019	1561215786	0	36	36	36
Sat Jun 22 15:02:55 2019	1561215775	0	36	37	36
Sat Jun 22 15:02:43 2019	1561215763	0	36	37	27
Sat Jun 22 15:02:44 2019	1561215764	0	36	37	30
Sat Jun 22 15:02:57 2019	1561215777	0	36	37	10
Sat Jun 22 15:03:00 2019	1561215780	0	37	37	14
Sat Jun 22 15:03:08 2019	1561215788	0	37	37	36
Sat Jun 22 15:03:06 2019	1561215786	0	37	37	23
Sat Jun 22 15:02:44 2019	1561215764	0	37	37	25
Sat Jun 22 15:02:57 2019	1561215777	0	37	37	15
Sat Jun 22 15:03:11 2019	1561215791	0	36	37	34
Sat Jun 22 15:03:09 2019	1561215789	0	37	37	27
Sat Jun 22 15:02:55 2019	1561215775	0	37	37	37
Sat Jun 22 15:02:48 2019	1561215768	0	37	37	35
Sat Jun 22 15:02:43 2019	1561215763	0	37	37	24
Sat Jun 22 15:03:02 2019	1561215782	0	37	37	36
Sat Jun 22 15:03:08 2019	1561215788	0	37	37	6
Sat Jun 22 15:02:56 2019	1561215776	0	37	37	30
Sat Jun 22 15:02:48 2019	1561215768	0	37	37	31
Sat Jun 22 15:02:54 2019	1561215774	0	37	38	37
Sat Jun 22 15:03:08 2019	1561215788	0	37	38	37
Sat Jun 22 15:02:56 2019	1561215776	0	38	38	36
Sat Jun 22 15:03:02 2019	1561215782	0	38	38	30
Sat Jun 22 15:02:44 2019	1561215764	0	38	38	31
Sat Jun 22 15:03:04 2019	1561215784	0	38	38	22
Sat Jun 22 15:03:11 2019	1561215791	0	38	38	21
Sat Jun 22 15:02:44 2019	1561215764	0	38	38	37
Sat Jun 22 15:02:43 2019	1561215763	0	38	38	37
Sat Jun 22 15:02:44 2019	1561215764	1	38	38	37
Sat Jun 22 15:03:00 2019	1561215780	0	38	38	31
Sat Jun 22 15:02:49 2019	1561215769	0	38	38	31
Sat Jun 22 15:02:53 2019	1561215773	1	38	38	36
Sat Jun 22 15:03:02 2019	1561215782	0	38	39	15
Sat Jun 22 15:02:45 2019	1561215765	0	38	39	37
Sat Jun 22 15:02:48 2019	1561215768	0	38	39	22
Sat Jun 22 15:03:10 2019	1561215790	0	38	39	31
Sat Jun 22 15:03:00 2019	1561215780	0	39	39	6
Sat Jun 22 15:02:53 2019	1561215773	0	39	39	17
Sat Jun 22 15:02:54 2019	1561215774	0	39	39	38
Sat Jun 22 15:02:47 2019	1561215767	0	39	39	33
Sat Jun 22 15:03:02 2019	1561215782	0	39	39	37
Sat Jun 22 15:02:55 2019	1561215775	0	39	39	30
Sat Jun 22 15:02:57 2019	1561215777	0	39	39	38
Sat Jun 22 15:03:04 2019	1561215784	0	39	39	23
Sat Jun 22 15:02:43 2019	1561215763	0	39	39	29
Sat Jun 22 15:03:10 2019	1561215790	0	39	39	38
Sat Jun 22 15:02:49 2019	1561215769	0	39	39	32
Sat Jun 22 15:03:09 2019	1561215789	0	39	39	38
Sat Jun 22 15:02:49 2019	1561215769	0	39	39	38
Sat Jun 22 15:02:47 2019	1561215767	0	39	39	31
Sat Jun 22 15:02:55 2019	1561215775	0	39	39	25
Sat Jun 22 15:02:49 2019	1561215769	0	39	40	38
Sat Jun 22 15:03:04 2019	1561215784	0	39	40	39
Sat Jun 22 15:03:03 2019	1561215783	0	40	40	36
Sat Jun 22 15:02:51 2019	1561215771	0	40	40	38
Sat Jun 22 15:02:50 2019	1561215770	0	40	40	39
Sat Jun 22 15:02:43 2019	1561215763	0	40	40	38
Sat Jun 22 15:02:52 2019	1561215772	0	40	40	33
Sat Jun 22 15:03:08 2019	1561215788	0	40	40	37
Sat Jun 22 15:02:58 2019	1561215778	0	40	40	38
Sat Jun 22 15:03:02 2019	1561215782	0	40	40	38
Sat Jun 22 15:02:50 2019	1561215770	0	40	40	33
Sat Jun 22 15:02:56 2019	1561215776	0	40	40	39
Sat Jun 22 15:03:07 2019	1561215787	0	40	40	30
Sat Jun 22 15:02:47 2019	1561215767	0	40	40	31
Sat Jun 22 15:03:13 2019	1561215793	0	40	41	17
Sat Jun 22 15:03:07 2019	1561215787	0	40	41	32
Sat Jun 22 15:03:05 2019	1561215785	0	40	41	34
