starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 20 12:05:12 2019	1566295512	0	11	11	11
Tue Aug 20 12:05:12 2019	1566295512	1	39	39	19
Tue Aug 20 12:05:37 2019	1566295537	0	49	49	44
Tue Aug 20 12:05:14 2019	1566295514	0	51	51	27
Tue Aug 20 12:05:23 2019	1566295523	0	52	52	47
Tue Aug 20 12:05:18 2019	1566295518	0	53	53	43
Tue Aug 20 12:05:38 2019	1566295538	0	53	53	35
Tue Aug 20 12:05:12 2019	1566295512	1	52	53	36
Tue Aug 20 12:05:31 2019	1566295531	0	53	53	46
Tue Aug 20 12:05:34 2019	1566295534	0	54	54	40
Tue Aug 20 12:05:15 2019	1566295515	0	54	54	44
Tue Aug 20 12:05:42 2019	1566295542	0	54	54	51
Tue Aug 20 12:05:38 2019	1566295538	0	55	56	51
Tue Aug 20 12:05:15 2019	1566295515	0	56	56	48
Tue Aug 20 12:05:41 2019	1566295541	0	57	57	53
Tue Aug 20 12:05:16 2019	1566295516	0	58	58	52
Tue Aug 20 12:05:19 2019	1566295519	0	58	58	51
Tue Aug 20 12:05:12 2019	1566295512	0	58	59	37
Tue Aug 20 12:05:15 2019	1566295515	0	58	59	49
Tue Aug 20 12:05:13 2019	1566295513	0	59	59	52
Tue Aug 20 12:05:15 2019	1566295515	0	60	60	53
Tue Aug 20 12:05:26 2019	1566295526	0	62	62	46
Tue Aug 20 12:05:27 2019	1566295527	0	62	62	46
Tue Aug 20 12:05:32 2019	1566295532	0	64	64	59
Tue Aug 20 12:05:21 2019	1566295521	0	65	65	60
Tue Aug 20 12:05:27 2019	1566295527	0	65	65	62
Tue Aug 20 12:05:38 2019	1566295538	0	65	65	42
Tue Aug 20 12:05:34 2019	1566295534	0	65	65	64
Tue Aug 20 12:05:30 2019	1566295530	0	65	65	61
Tue Aug 20 12:05:37 2019	1566295537	0	65	66	61
Tue Aug 20 12:05:41 2019	1566295541	0	66	66	63
Tue Aug 20 12:05:35 2019	1566295535	0	66	66	56
Tue Aug 20 12:05:12 2019	1566295512	0	66	66	52
Tue Aug 20 12:05:25 2019	1566295525	0	67	67	63
Tue Aug 20 12:05:36 2019	1566295536	0	67	67	54
Tue Aug 20 12:05:34 2019	1566295534	0	67	67	56
Tue Aug 20 12:05:13 2019	1566295513	0	67	67	59
Tue Aug 20 12:05:40 2019	1566295540	0	68	68	59
Tue Aug 20 12:05:17 2019	1566295517	0	68	68	54
Tue Aug 20 12:05:19 2019	1566295519	0	68	68	56
Tue Aug 20 12:05:37 2019	1566295537	0	68	68	66
Tue Aug 20 12:05:28 2019	1566295528	0	68	68	53
Tue Aug 20 12:05:30 2019	1566295530	0	68	69	57
Tue Aug 20 12:05:19 2019	1566295519	0	68	69	58
Tue Aug 20 12:05:28 2019	1566295528	0	69	69	65
Tue Aug 20 12:05:39 2019	1566295539	0	69	69	61
Tue Aug 20 12:05:22 2019	1566295522	0	69	69	63
Tue Aug 20 12:05:15 2019	1566295515	0	69	69	52
Tue Aug 20 12:05:27 2019	1566295527	0	69	69	53
Tue Aug 20 12:05:26 2019	1566295526	0	69	69	64
Tue Aug 20 12:05:39 2019	1566295539	0	69	69	49
Tue Aug 20 12:05:36 2019	1566295536	0	69	69	56
Tue Aug 20 12:05:24 2019	1566295524	0	69	69	50
Tue Aug 20 12:05:13 2019	1566295513	0	69	69	62
Tue Aug 20 12:05:18 2019	1566295518	0	69	69	64
Tue Aug 20 12:05:38 2019	1566295538	0	69	69	58
Tue Aug 20 12:05:26 2019	1566295526	0	69	70	48
Tue Aug 20 12:05:24 2019	1566295524	0	70	70	57
Tue Aug 20 12:05:26 2019	1566295526	0	70	70	58
Tue Aug 20 12:05:40 2019	1566295540	0	70	70	51
Tue Aug 20 12:05:38 2019	1566295538	0	70	70	58
Tue Aug 20 12:05:24 2019	1566295524	0	70	70	58
Tue Aug 20 12:05:31 2019	1566295531	0	70	70	37
Tue Aug 20 12:05:13 2019	1566295513	0	70	70	53
Tue Aug 20 12:05:18 2019	1566295518	0	70	70	67
Tue Aug 20 12:05:20 2019	1566295520	0	70	70	65
Tue Aug 20 12:05:30 2019	1566295530	0	70	70	58
Tue Aug 20 12:05:36 2019	1566295536	0	70	70	59
Tue Aug 20 12:05:14 2019	1566295514	0	71	71	49
Tue Aug 20 12:05:34 2019	1566295534	0	71	71	55
Tue Aug 20 12:05:24 2019	1566295524	0	71	71	40
Tue Aug 20 12:05:30 2019	1566295530	0	71	71	61
Tue Aug 20 12:05:23 2019	1566295523	0	71	71	67
Tue Aug 20 12:05:33 2019	1566295533	0	71	71	59
Tue Aug 20 12:05:40 2019	1566295540	0	71	71	65
Tue Aug 20 12:05:38 2019	1566295538	0	71	72	47
Tue Aug 20 12:05:30 2019	1566295530	0	71	72	69
Tue Aug 20 12:05:21 2019	1566295521	0	72	72	54
Tue Aug 20 12:05:35 2019	1566295535	0	72	72	67
Tue Aug 20 12:05:25 2019	1566295525	0	72	72	40
Tue Aug 20 12:05:31 2019	1566295531	0	72	72	62
Tue Aug 20 12:05:28 2019	1566295528	0	72	72	51
Tue Aug 20 12:05:19 2019	1566295519	0	72	72	59
Tue Aug 20 12:05:21 2019	1566295521	0	72	72	62
Tue Aug 20 12:05:24 2019	1566295524	0	72	72	50
Tue Aug 20 12:05:37 2019	1566295537	0	72	72	49
Tue Aug 20 12:05:14 2019	1566295514	0	72	72	52
Tue Aug 20 12:05:25 2019	1566295525	0	72	72	64
Tue Aug 20 12:05:38 2019	1566295538	0	72	73	43
Tue Aug 20 12:05:27 2019	1566295527	0	73	73	49
Tue Aug 20 12:05:24 2019	1566295524	0	73	73	57
Tue Aug 20 12:05:13 2019	1566295513	0	73	73	61
Tue Aug 20 12:05:40 2019	1566295540	0	73	73	51
Tue Aug 20 12:05:24 2019	1566295524	0	73	73	61
Tue Aug 20 12:05:16 2019	1566295516	0	73	73	68
Tue Aug 20 12:05:20 2019	1566295520	0	74	74	61
Tue Aug 20 12:05:35 2019	1566295535	0	74	74	65
Tue Aug 20 12:05:18 2019	1566295518	0	74	74	67
Tue Aug 20 12:05:38 2019	1566295538	0	74	74	52
Tue Aug 20 12:05:28 2019	1566295528	0	74	74	62
Tue Aug 20 12:05:20 2019	1566295520	0	74	74	56
Tue Aug 20 12:05:31 2019	1566295531	0	74	74	61
Tue Aug 20 12:05:18 2019	1566295518	0	74	74	50
Tue Aug 20 12:05:40 2019	1566295540	0	74	74	60
Tue Aug 20 12:05:14 2019	1566295514	0	74	75	64
Tue Aug 20 12:05:38 2019	1566295538	0	75	75	55
Tue Aug 20 12:05:42 2019	1566295542	0	75	75	53
Tue Aug 20 12:05:39 2019	1566295539	0	75	75	56
Tue Aug 20 12:05:24 2019	1566295524	0	75	75	68
Tue Aug 20 12:05:15 2019	1566295515	0	75	75	70
Tue Aug 20 12:05:40 2019	1566295540	0	75	76	55
Tue Aug 20 12:05:15 2019	1566295515	0	75	76	68
Tue Aug 20 12:05:31 2019	1566295531	0	75	76	70
Tue Aug 20 12:05:18 2019	1566295518	0	76	76	67
