starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 18 00:44:24 2019	1566081864	0	3	3	3
Sun Aug 18 00:44:27 2019	1566081867	0	3	3	3
Sun Aug 18 00:44:32 2019	1566081872	0	3	4	3
Sun Aug 18 00:44:21 2019	1566081861	0	4	4	3
Sun Aug 18 00:44:19 2019	1566081859	0	4	4	4
Sun Aug 18 00:44:31 2019	1566081871	0	4	4	4
Sun Aug 18 00:44:38 2019	1566081878	0	4	4	4
Sun Aug 18 00:44:33 2019	1566081873	0	4	4	4
Sun Aug 18 00:44:28 2019	1566081868	0	4	4	4
Sun Aug 18 00:44:15 2019	1566081855	0	4	4	4
Sun Aug 18 00:44:27 2019	1566081867	0	4	4	4
Sun Aug 18 00:44:15 2019	1566081855	0	4	4	4
Sun Aug 18 00:44:40 2019	1566081880	0	4	4	4
Sun Aug 18 00:44:36 2019	1566081876	0	4	4	4
Sun Aug 18 00:44:26 2019	1566081866	0	4	4	4
Sun Aug 18 00:44:39 2019	1566081879	0	4	4	4
Sun Aug 18 00:44:22 2019	1566081862	0	4	4	4
Sun Aug 18 00:44:32 2019	1566081872	0	4	4	4
Sun Aug 18 00:44:24 2019	1566081864	0	4	4	4
Sun Aug 18 00:44:31 2019	1566081871	0	4	4	4
Sun Aug 18 00:44:44 2019	1566081884	0	4	4	4
Sun Aug 18 00:44:24 2019	1566081864	0	4	4	4
Sun Aug 18 00:44:39 2019	1566081879	0	4	4	4
Sun Aug 18 00:44:36 2019	1566081876	0	4	4	4
Sun Aug 18 00:44:15 2019	1566081855	0	4	4	4
Sun Aug 18 00:44:21 2019	1566081861	0	4	4	4
Sun Aug 18 00:44:41 2019	1566081881	0	4	4	4
Sun Aug 18 00:44:22 2019	1566081862	0	4	4	4
Sun Aug 18 00:44:40 2019	1566081880	0	4	4	4
Sun Aug 18 00:44:43 2019	1566081883	0	4	4	4
Sun Aug 18 00:44:43 2019	1566081883	0	4	4	4
