starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 20 12:04:48 2019	1566295488	0	6	6	5
Tue Aug 20 12:04:52 2019	1566295492	0	6	6	6
Tue Aug 20 12:04:56 2019	1566295496	0	6	6	6
Tue Aug 20 12:05:00 2019	1566295500	0	6	6	6
Tue Aug 20 12:05:12 2019	1566295512	0	6	6	6
Tue Aug 20 12:05:09 2019	1566295509	0	6	6	6
Tue Aug 20 12:04:46 2019	1566295486	0	6	6	6
Tue Aug 20 12:04:47 2019	1566295487	0	6	6	6
Tue Aug 20 12:05:00 2019	1566295500	0	6	6	6
Tue Aug 20 12:04:48 2019	1566295488	0	6	6	6
Tue Aug 20 12:05:10 2019	1566295510	0	6	6	6
Tue Aug 20 12:04:54 2019	1566295494	0	6	6	6
Tue Aug 20 12:05:08 2019	1566295508	0	6	6	6
Tue Aug 20 12:04:59 2019	1566295499	0	6	6	6
Tue Aug 20 12:04:55 2019	1566295495	0	6	6	6
Tue Aug 20 12:04:48 2019	1566295488	0	6	6	6
Tue Aug 20 12:05:05 2019	1566295505	0	6	6	6
Tue Aug 20 12:04:45 2019	1566295485	0	6	6	6
Tue Aug 20 12:05:02 2019	1566295502	0	6	6	6
Tue Aug 20 12:05:11 2019	1566295511	0	6	6	6
Tue Aug 20 12:04:58 2019	1566295498	0	6	6	6
Tue Aug 20 12:05:05 2019	1566295505	0	6	6	6
Tue Aug 20 12:04:54 2019	1566295494	0	6	6	6
Tue Aug 20 12:05:05 2019	1566295505	0	6	6	6
Tue Aug 20 12:05:01 2019	1566295501	0	6	6	6
Tue Aug 20 12:05:06 2019	1566295506	0	6	6	6
Tue Aug 20 12:04:52 2019	1566295492	0	6	6	6
Tue Aug 20 12:04:57 2019	1566295497	0	6	6	6
Tue Aug 20 12:05:07 2019	1566295507	0	6	6	6
Tue Aug 20 12:04:52 2019	1566295492	0	6	6	6
Tue Aug 20 12:05:11 2019	1566295511	0	6	6	6
Tue Aug 20 12:04:53 2019	1566295493	0	6	6	6
Tue Aug 20 12:05:07 2019	1566295507	0	6	6	6
Tue Aug 20 12:04:51 2019	1566295491	0	6	6	6
Tue Aug 20 12:05:00 2019	1566295500	0	6	6	6
Tue Aug 20 12:04:43 2019	1566295483	0	6	6	6
Tue Aug 20 12:05:10 2019	1566295510	0	6	6	6
Tue Aug 20 12:05:05 2019	1566295505	0	6	6	6
Tue Aug 20 12:05:04 2019	1566295504	0	6	6	6
Tue Aug 20 12:04:49 2019	1566295489	0	6	6	6
Tue Aug 20 12:05:01 2019	1566295501	0	6	6	6
Tue Aug 20 12:04:51 2019	1566295491	0	6	6	6
Tue Aug 20 12:04:55 2019	1566295495	0	6	6	6
Tue Aug 20 12:05:08 2019	1566295508	0	6	6	6
Tue Aug 20 12:04:54 2019	1566295494	0	6	6	6
Tue Aug 20 12:04:49 2019	1566295489	0	6	6	6
Tue Aug 20 12:04:50 2019	1566295490	0	6	6	6
Tue Aug 20 12:05:05 2019	1566295505	0	6	6	6
Tue Aug 20 12:05:01 2019	1566295501	0	6	6	6
Tue Aug 20 12:04:50 2019	1566295490	0	6	6	6
Tue Aug 20 12:05:11 2019	1566295511	0	6	6	6
Tue Aug 20 12:04:53 2019	1566295493	0	6	6	6
Tue Aug 20 12:04:53 2019	1566295493	0	6	6	6
Tue Aug 20 12:05:02 2019	1566295502	0	6	6	6
Tue Aug 20 12:04:54 2019	1566295494	0	6	6	6
Tue Aug 20 12:04:50 2019	1566295490	0	6	7	6
Tue Aug 20 12:05:06 2019	1566295506	0	6	7	6
Tue Aug 20 12:05:01 2019	1566295501	0	6	7	6
Tue Aug 20 12:05:04 2019	1566295504	0	6	7	6
Tue Aug 20 12:04:58 2019	1566295498	0	6	7	6
Tue Aug 20 12:05:07 2019	1566295507	0	6	7	6
Tue Aug 20 12:05:10 2019	1566295510	0	6	7	6
Tue Aug 20 12:05:11 2019	1566295511	0	6	7	6
Tue Aug 20 12:04:57 2019	1566295497	0	7	7	6
Tue Aug 20 12:05:02 2019	1566295502	0	7	7	6
Tue Aug 20 12:04:54 2019	1566295494	0	7	7	6
Tue Aug 20 12:05:06 2019	1566295506	0	7	7	6
Tue Aug 20 12:05:09 2019	1566295509	0	7	7	6
Tue Aug 20 12:05:12 2019	1566295512	0	7	7	6
Tue Aug 20 12:04:48 2019	1566295488	0	6	7	6
Tue Aug 20 12:05:11 2019	1566295511	0	7	7	6
Tue Aug 20 12:05:11 2019	1566295511	0	7	7	6
Tue Aug 20 12:04:52 2019	1566295492	0	7	7	6
Tue Aug 20 12:04:59 2019	1566295499	0	7	7	7
Tue Aug 20 12:05:06 2019	1566295506	0	6	7	6
Tue Aug 20 12:04:55 2019	1566295495	0	7	7	6
Tue Aug 20 12:05:03 2019	1566295503	0	7	7	7
Tue Aug 20 12:04:44 2019	1566295484	0	7	7	6
Tue Aug 20 12:04:56 2019	1566295496	0	7	7	7
Tue Aug 20 12:04:52 2019	1566295492	0	7	7	6
Tue Aug 20 12:04:52 2019	1566295492	0	7	7	7
Tue Aug 20 12:04:56 2019	1566295496	0	7	7	6
