starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:02 2019	1565993342	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:06 2019	1565993346	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:20 2019	1565993360	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:03 2019	1565993343	0	2	2	2
Sat Aug 17 00:09:20 2019	1565993360	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:16 2019	1565993356	0	2	2	2
Sat Aug 17 00:09:16 2019	1565993356	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:11 2019	1565993351	0	2	2	2
Sat Aug 17 00:09:12 2019	1565993352	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:30 2019	1565993370	0	2	2	2
Sat Aug 17 00:09:09 2019	1565993349	0	2	2	2
Sat Aug 17 00:09:29 2019	1565993369	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:05 2019	1565993345	0	2	2	2
Sat Aug 17 00:09:07 2019	1565993347	0	2	2	2
Sat Aug 17 00:09:29 2019	1565993369	0	2	2	2
Sat Aug 17 00:09:25 2019	1565993365	0	2	2	2
Sat Aug 17 00:09:27 2019	1565993367	0	2	2	2
Sat Aug 17 00:09:09 2019	1565993349	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:29 2019	1565993369	0	2	2	2
Sat Aug 17 00:09:21 2019	1565993361	0	2	2	2
Sat Aug 17 00:09:27 2019	1565993367	0	2	2	2
Sat Aug 17 00:09:17 2019	1565993357	0	2	2	2
Sat Aug 17 00:09:05 2019	1565993345	0	2	2	2
Sat Aug 17 00:09:30 2019	1565993370	0	2	2	2
Sat Aug 17 00:09:03 2019	1565993343	0	2	2	2
Sat Aug 17 00:09:30 2019	1565993370	0	2	2	2
Sat Aug 17 00:09:22 2019	1565993362	0	2	2	2
Sat Aug 17 00:09:21 2019	1565993361	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:27 2019	1565993367	0	2	2	2
Sat Aug 17 00:09:15 2019	1565993355	0	2	2	2
Sat Aug 17 00:09:15 2019	1565993355	0	2	2	2
Sat Aug 17 00:09:22 2019	1565993362	0	2	2	2
Sat Aug 17 00:09:26 2019	1565993366	0	2	2	2
Sat Aug 17 00:09:21 2019	1565993361	0	2	2	2
Sat Aug 17 00:09:14 2019	1565993354	0	2	2	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	2	2
Sat Aug 17 00:09:15 2019	1565993355	0	2	2	2
Sat Aug 17 00:09:07 2019	1565993347	0	2	2	2
Sat Aug 17 00:09:12 2019	1565993352	0	2	3	2
Sat Aug 17 00:09:08 2019	1565993348	0	2	3	2
Sat Aug 17 00:09:28 2019	1565993368	0	2	3	2
Sat Aug 17 00:09:14 2019	1565993354	0	2	3	2
Sat Aug 17 00:09:27 2019	1565993367	0	2	3	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	3	2
Sat Aug 17 00:09:29 2019	1565993369	0	2	3	2
Sat Aug 17 00:09:29 2019	1565993369	0	2	3	2
Sat Aug 17 00:09:01 2019	1565993341	0	2	3	2
Sat Aug 17 00:09:23 2019	1565993363	0	2	3	2
Sat Aug 17 00:09:12 2019	1565993352	0	3	3	2
Sat Aug 17 00:09:25 2019	1565993365	0	2	3	2
Sat Aug 17 00:09:14 2019	1565993354	0	2	3	2
Sat Aug 17 00:09:01 2019	1565993341	0	3	3	2
Sat Aug 17 00:09:26 2019	1565993366	0	3	3	2
Sat Aug 17 00:09:07 2019	1565993347	0	2	3	2
Sat Aug 17 00:09:22 2019	1565993362	0	2	3	2
Sat Aug 17 00:09:21 2019	1565993361	0	3	3	3
Sat Aug 17 00:09:25 2019	1565993365	0	2	3	2
Sat Aug 17 00:09:08 2019	1565993348	0	3	3	3
Sat Aug 17 00:09:17 2019	1565993357	0	2	3	2
Sat Aug 17 00:09:20 2019	1565993360	0	3	3	2
Sat Aug 17 00:09:27 2019	1565993367	0	3	3	3
Sat Aug 17 00:09:08 2019	1565993348	0	3	3	2
Sat Aug 17 00:09:20 2019	1565993360	0	2	3	2
Sat Aug 17 00:09:07 2019	1565993347	0	3	3	3
Sat Aug 17 00:09:20 2019	1565993360	0	3	3	2
Sat Aug 17 00:09:05 2019	1565993345	0	3	3	3
Sat Aug 17 00:09:29 2019	1565993369	0	3	3	3
Sat Aug 17 00:09:07 2019	1565993347	0	3	3	2
Sat Aug 17 00:09:08 2019	1565993348	0	3	3	3
Sat Aug 17 00:09:30 2019	1565993370	0	3	3	2
Sat Aug 17 00:09:04 2019	1565993344	0	3	3	2
Sat Aug 17 00:09:05 2019	1565993345	0	3	3	2
Sat Aug 17 00:09:23 2019	1565993363	0	3	3	2
Sat Aug 17 00:09:13 2019	1565993353	0	3	3	2
Sat Aug 17 00:09:30 2019	1565993370	0	3	3	2
Sat Aug 17 00:09:17 2019	1565993357	0	3	3	2
Sat Aug 17 00:09:05 2019	1565993345	0	3	3	3
Sat Aug 17 00:09:19 2019	1565993359	0	3	3	3
Sat Aug 17 00:09:01 2019	1565993341	0	3	3	3
Sat Aug 17 00:09:13 2019	1565993353	0	3	3	3
Sat Aug 17 00:09:15 2019	1565993355	0	3	3	3
Sat Aug 17 00:09:01 2019	1565993341	0	3	3	3
Sat Aug 17 00:09:04 2019	1565993344	0	3	3	3
Sat Aug 17 00:09:05 2019	1565993345	0	3	3	3
Sat Aug 17 00:09:16 2019	1565993356	0	3	3	2
Sat Aug 17 00:09:29 2019	1565993369	0	3	3	3
Sat Aug 17 00:09:12 2019	1565993352	0	2	3	2
Sat Aug 17 00:09:06 2019	1565993346	0	3	3	3
Sat Aug 17 00:09:03 2019	1565993343	0	3	3	3
Sat Aug 17 00:09:24 2019	1565993364	0	3	3	3
Sat Aug 17 00:09:28 2019	1565993368	0	3	3	2
Sat Aug 17 00:09:20 2019	1565993360	0	3	3	3
Sat Aug 17 00:09:07 2019	1565993347	0	3	3	3
Sat Aug 17 00:09:23 2019	1565993363	0	3	3	3
Sat Aug 17 00:09:21 2019	1565993361	0	3	3	3
Sat Aug 17 00:09:29 2019	1565993369	0	3	3	3
Sat Aug 17 00:09:20 2019	1565993360	0	3	3	3
Sat Aug 17 00:09:10 2019	1565993350	0	3	3	3
Sat Aug 17 00:09:24 2019	1565993364	0	3	3	2
Sat Aug 17 00:09:07 2019	1565993347	0	3	3	3
Sat Aug 17 00:09:08 2019	1565993348	0	3	3	3
Sat Aug 17 00:09:03 2019	1565993343	0	3	3	3
Sat Aug 17 00:09:05 2019	1565993345	0	3	3	3
Sat Aug 17 00:09:01 2019	1565993341	0	3	3	3
Sat Aug 17 00:09:10 2019	1565993350	0	3	3	3
Sat Aug 17 00:09:22 2019	1565993362	0	3	3	3
Sat Aug 17 00:09:22 2019	1565993362	0	3	3	3
Sat Aug 17 00:09:12 2019	1565993352	0	3	3	3
Sat Aug 17 00:09:20 2019	1565993360	0	3	3	3
Sat Aug 17 00:09:08 2019	1565993348	0	3	3	3
Sat Aug 17 00:09:04 2019	1565993344	0	3	3	3
Sat Aug 17 00:09:29 2019	1565993369	0	3	3	3
Sat Aug 17 00:09:29 2019	1565993369	0	3	3	3
Sat Aug 17 00:09:11 2019	1565993351	0	3	3	2
Sat Aug 17 00:09:26 2019	1565993366	0	3	3	3
