starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 20 12:02:42 2019	1566295362	0	80	80	80
Tue Aug 20 12:03:00 2019	1566295380	0	108	108	107
Tue Aug 20 12:02:54 2019	1566295374	0	110	110	110
Tue Aug 20 12:02:49 2019	1566295369	0	110	110	110
Tue Aug 20 12:03:08 2019	1566295388	0	111	111	110
Tue Aug 20 12:02:45 2019	1566295365	0	111	111	111
Tue Aug 20 12:02:47 2019	1566295367	0	111	111	111
Tue Aug 20 12:03:09 2019	1566295389	0	111	111	111
Tue Aug 20 12:03:06 2019	1566295386	0	111	111	111
Tue Aug 20 12:02:53 2019	1566295373	0	112	112	111
Tue Aug 20 12:02:50 2019	1566295370	0	112	112	111
Tue Aug 20 12:02:53 2019	1566295373	0	112	112	111
Tue Aug 20 12:02:53 2019	1566295373	0	112	112	111
Tue Aug 20 12:02:45 2019	1566295365	0	112	112	112
Tue Aug 20 12:02:57 2019	1566295377	0	112	112	112
Tue Aug 20 12:02:44 2019	1566295364	0	112	112	112
Tue Aug 20 12:02:55 2019	1566295375	0	112	112	112
Tue Aug 20 12:02:53 2019	1566295373	0	112	112	112
Tue Aug 20 12:02:43 2019	1566295363	0	112	112	112
Tue Aug 20 12:03:04 2019	1566295384	0	112	112	112
Tue Aug 20 12:03:08 2019	1566295388	0	112	112	112
Tue Aug 20 12:02:53 2019	1566295373	0	112	112	112
Tue Aug 20 12:03:06 2019	1566295386	0	112	112	112
Tue Aug 20 12:02:55 2019	1566295375	0	112	112	112
Tue Aug 20 12:02:50 2019	1566295370	0	112	112	112
Tue Aug 20 12:03:06 2019	1566295386	0	112	112	112
Tue Aug 20 12:03:03 2019	1566295383	0	113	113	112
Tue Aug 20 12:03:02 2019	1566295382	0	113	113	112
Tue Aug 20 12:03:03 2019	1566295383	0	113	113	112
Tue Aug 20 12:03:05 2019	1566295385	0	113	113	112
Tue Aug 20 12:02:53 2019	1566295373	0	113	113	112
Tue Aug 20 12:03:04 2019	1566295384	0	113	113	113
Tue Aug 20 12:03:02 2019	1566295382	0	113	113	113
Tue Aug 20 12:03:06 2019	1566295386	0	113	113	113
Tue Aug 20 12:02:49 2019	1566295369	0	113	113	113
Tue Aug 20 12:02:48 2019	1566295368	0	113	113	112
Tue Aug 20 12:02:51 2019	1566295371	0	113	113	113
Tue Aug 20 12:02:57 2019	1566295377	0	113	113	113
Tue Aug 20 12:02:47 2019	1566295367	0	113	113	113
Tue Aug 20 12:02:48 2019	1566295368	0	113	113	113
Tue Aug 20 12:02:46 2019	1566295366	0	113	113	113
Tue Aug 20 12:02:55 2019	1566295375	0	113	113	113
Tue Aug 20 12:02:53 2019	1566295373	0	113	113	113
Tue Aug 20 12:03:11 2019	1566295391	0	113	113	113
Tue Aug 20 12:03:03 2019	1566295383	0	113	113	113
Tue Aug 20 12:02:56 2019	1566295376	0	113	113	113
Tue Aug 20 12:02:56 2019	1566295376	0	113	113	113
Tue Aug 20 12:02:45 2019	1566295365	0	113	113	113
Tue Aug 20 12:02:49 2019	1566295369	0	113	113	113
Tue Aug 20 12:03:04 2019	1566295384	0	113	113	113
