starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 20 12:04:07 2019	1566295447	0	10	10	10
Tue Aug 20 12:04:03 2019	1566295443	0	12	12	12
Tue Aug 20 12:04:09 2019	1566295449	0	12	13	12
Tue Aug 20 12:04:03 2019	1566295443	0	12	13	12
Tue Aug 20 12:03:57 2019	1566295437	0	12	13	12
Tue Aug 20 12:04:03 2019	1566295443	0	13	13	12
Tue Aug 20 12:04:03 2019	1566295443	0	13	13	12
Tue Aug 20 12:03:58 2019	1566295438	0	13	13	12
Tue Aug 20 12:03:58 2019	1566295438	0	13	13	12
Tue Aug 20 12:04:08 2019	1566295448	0	13	13	13
Tue Aug 20 12:04:03 2019	1566295443	0	13	14	13
Tue Aug 20 12:04:12 2019	1566295452	0	14	14	13
Tue Aug 20 12:04:12 2019	1566295452	0	14	14	14
Tue Aug 20 12:03:57 2019	1566295437	0	14	15	13
Tue Aug 20 12:03:57 2019	1566295437	0	14	15	14
Tue Aug 20 12:03:57 2019	1566295437	0	14	15	13
Tue Aug 20 12:04:12 2019	1566295452	0	14	15	13
Tue Aug 20 12:04:12 2019	1566295452	0	15	15	14
Tue Aug 20 12:04:12 2019	1566295452	1	15	15	14
Tue Aug 20 12:04:07 2019	1566295447	0	15	15	15
Tue Aug 20 12:04:09 2019	1566295449	0	15	15	14
Tue Aug 20 12:04:09 2019	1566295449	0	15	16	15
Tue Aug 20 12:04:06 2019	1566295446	0	15	16	15
Tue Aug 20 12:04:09 2019	1566295449	0	15	16	14
Tue Aug 20 12:04:06 2019	1566295446	0	15	16	14
Tue Aug 20 12:04:07 2019	1566295447	0	15	16	14
Tue Aug 20 12:04:03 2019	1566295443	0	15	16	14
Tue Aug 20 12:04:03 2019	1566295443	0	15	16	15
Tue Aug 20 12:04:03 2019	1566295443	0	15	16	14
Tue Aug 20 12:03:54 2019	1566295434	0	16	16	16
Tue Aug 20 12:03:49 2019	1566295429	0	16	16	15
Tue Aug 20 12:03:49 2019	1566295429	0	16	16	14
Tue Aug 20 12:04:11 2019	1566295451	0	16	16	15
Tue Aug 20 12:03:49 2019	1566295429	0	16	16	14
Tue Aug 20 12:03:57 2019	1566295437	0	16	16	16
Tue Aug 20 12:03:52 2019	1566295432	0	16	17	16
Tue Aug 20 12:03:52 2019	1566295432	0	16	17	16
Tue Aug 20 12:04:02 2019	1566295442	0	17	17	16
Tue Aug 20 12:03:55 2019	1566295435	0	17	17	16
Tue Aug 20 12:03:58 2019	1566295438	0	17	17	16
Tue Aug 20 12:04:01 2019	1566295441	0	17	17	17
Tue Aug 20 12:03:58 2019	1566295438	0	17	17	16
Tue Aug 20 12:03:58 2019	1566295438	0	17	17	15
Tue Aug 20 12:03:52 2019	1566295432	0	17	17	16
Tue Aug 20 12:04:11 2019	1566295451	0	17	17	16
Tue Aug 20 12:04:11 2019	1566295451	0	17	17	17
Tue Aug 20 12:04:11 2019	1566295451	0	17	17	15
Tue Aug 20 12:03:54 2019	1566295434	0	17	17	17
Tue Aug 20 12:03:52 2019	1566295432	0	17	17	17
Tue Aug 20 12:03:52 2019	1566295432	0	17	17	15
Tue Aug 20 12:03:52 2019	1566295432	0	17	17	15
Tue Aug 20 12:04:00 2019	1566295440	0	17	17	17
Tue Aug 20 12:04:11 2019	1566295451	0	17	18	16
Tue Aug 20 12:04:11 2019	1566295451	0	17	18	17
Tue Aug 20 12:04:11 2019	1566295451	0	17	18	16
Tue Aug 20 12:04:11 2019	1566295451	0	17	18	16
Tue Aug 20 12:04:11 2019	1566295451	0	17	18	17
Tue Aug 20 12:04:11 2019	1566295451	0	17	18	16
Tue Aug 20 12:04:05 2019	1566295445	0	17	18	17
Tue Aug 20 12:04:00 2019	1566295440	0	17	18	16
Tue Aug 20 12:04:05 2019	1566295445	0	17	18	16
Tue Aug 20 12:03:55 2019	1566295435	0	17	18	17
Tue Aug 20 12:03:57 2019	1566295437	0	17	18	17
Tue Aug 20 12:03:50 2019	1566295430	0	17	18	17
Tue Aug 20 12:03:50 2019	1566295430	0	17	18	16
Tue Aug 20 12:03:55 2019	1566295435	0	18	18	17
Tue Aug 20 12:03:55 2019	1566295435	0	18	18	17
Tue Aug 20 12:03:57 2019	1566295437	0	18	18	17
Tue Aug 20 12:03:57 2019	1566295437	0	18	18	17
Tue Aug 20 12:03:53 2019	1566295433	0	18	19	17
Tue Aug 20 12:03:51 2019	1566295431	0	18	19	17
Tue Aug 20 12:03:53 2019	1566295433	0	18	19	18
Tue Aug 20 12:04:03 2019	1566295443	0	18	19	18
Tue Aug 20 12:03:53 2019	1566295433	0	18	19	16
Tue Aug 20 12:03:51 2019	1566295431	0	18	19	18
Tue Aug 20 12:04:03 2019	1566295443	0	18	19	18
Tue Aug 20 12:04:03 2019	1566295443	0	18	19	17
Tue Aug 20 12:03:51 2019	1566295431	1	18	19	16
Tue Aug 20 12:03:51 2019	1566295431	0	18	19	15
Tue Aug 20 12:04:01 2019	1566295441	0	18	19	17
Tue Aug 20 12:03:53 2019	1566295433	0	18	19	17
Tue Aug 20 12:04:01 2019	1566295441	0	18	19	18
Tue Aug 20 12:03:51 2019	1566295431	1	18	19	16
Tue Aug 20 12:04:01 2019	1566295441	0	18	19	17
Tue Aug 20 12:03:47 2019	1566295427	0	19	19	18
Tue Aug 20 12:04:05 2019	1566295445	0	19	19	18
Tue Aug 20 12:03:47 2019	1566295427	0	19	19	18
Tue Aug 20 12:04:05 2019	1566295445	0	19	19	19
Tue Aug 20 12:04:05 2019	1566295445	0	19	19	17
Tue Aug 20 12:04:10 2019	1566295450	0	19	19	18
Tue Aug 20 12:04:05 2019	1566295445	0	19	19	18
Tue Aug 20 12:04:05 2019	1566295445	0	19	19	18
Tue Aug 20 12:04:08 2019	1566295448	0	19	19	18
Tue Aug 20 12:03:49 2019	1566295429	0	19	19	18
Tue Aug 20 12:03:55 2019	1566295435	0	19	19	19
Tue Aug 20 12:04:01 2019	1566295441	0	19	19	19
Tue Aug 20 12:03:55 2019	1566295435	0	19	19	18
Tue Aug 20 12:03:42 2019	1566295422	0	19	19	19
Tue Aug 20 12:04:07 2019	1566295447	0	19	19	19
Tue Aug 20 12:04:01 2019	1566295441	0	19	19	19
Tue Aug 20 12:04:04 2019	1566295444	0	19	19	17
