starttime	seconds	ctime	dtime	ttime	wait
Sun Aug 18 00:44:44 2019	1566081884	0	11	11	10
Sun Aug 18 00:44:44 2019	1566081884	1	49	49	20
Sun Aug 18 00:45:10 2019	1566081910	0	53	53	32
Sun Aug 18 00:45:03 2019	1566081903	0	54	54	39
Sun Aug 18 00:45:06 2019	1566081906	0	56	56	52
Sun Aug 18 00:45:04 2019	1566081904	0	57	57	54
Sun Aug 18 00:44:51 2019	1566081891	0	58	58	53
Sun Aug 18 00:45:00 2019	1566081900	0	61	61	54
Sun Aug 18 00:44:56 2019	1566081896	0	62	62	49
Sun Aug 18 00:44:49 2019	1566081889	0	62	62	53
Sun Aug 18 00:45:09 2019	1566081909	0	62	62	57
Sun Aug 18 00:45:10 2019	1566081910	0	63	63	44
Sun Aug 18 00:45:00 2019	1566081900	0	63	63	59
Sun Aug 18 00:45:08 2019	1566081908	0	63	63	57
Sun Aug 18 00:45:04 2019	1566081904	0	63	64	50
Sun Aug 18 00:44:46 2019	1566081886	0	64	64	59
Sun Aug 18 00:44:46 2019	1566081886	0	64	64	54
Sun Aug 18 00:44:44 2019	1566081884	1	63	64	29
Sun Aug 18 00:45:05 2019	1566081905	0	64	64	58
Sun Aug 18 00:45:07 2019	1566081907	0	65	65	41
Sun Aug 18 00:44:53 2019	1566081893	0	65	65	46
Sun Aug 18 00:44:48 2019	1566081888	0	65	65	45
Sun Aug 18 00:44:48 2019	1566081888	0	65	65	53
Sun Aug 18 00:44:50 2019	1566081890	0	65	65	56
Sun Aug 18 00:44:59 2019	1566081899	0	66	66	60
Sun Aug 18 00:45:09 2019	1566081909	0	66	66	58
Sun Aug 18 00:44:54 2019	1566081894	0	66	66	53
Sun Aug 18 00:44:53 2019	1566081893	0	66	66	56
Sun Aug 18 00:44:45 2019	1566081885	0	66	66	55
Sun Aug 18 00:45:03 2019	1566081903	0	67	67	41
Sun Aug 18 00:44:47 2019	1566081887	0	66	67	60
Sun Aug 18 00:44:48 2019	1566081888	0	67	67	57
Sun Aug 18 00:44:48 2019	1566081888	0	67	67	57
Sun Aug 18 00:44:46 2019	1566081886	0	67	67	44
Sun Aug 18 00:45:09 2019	1566081909	0	67	67	44
Sun Aug 18 00:45:04 2019	1566081904	0	67	67	53
Sun Aug 18 00:44:59 2019	1566081899	0	67	68	55
Sun Aug 18 00:44:53 2019	1566081893	0	68	68	62
Sun Aug 18 00:44:51 2019	1566081891	0	68	68	55
Sun Aug 18 00:44:53 2019	1566081893	0	68	68	52
Sun Aug 18 00:45:07 2019	1566081907	0	68	68	59
Sun Aug 18 00:44:58 2019	1566081898	0	68	68	42
Sun Aug 18 00:44:50 2019	1566081890	0	68	68	55
Sun Aug 18 00:44:53 2019	1566081893	0	68	68	56
Sun Aug 18 00:44:57 2019	1566081897	0	68	68	60
Sun Aug 18 00:45:02 2019	1566081902	0	68	69	57
Sun Aug 18 00:45:04 2019	1566081904	0	69	69	48
Sun Aug 18 00:44:54 2019	1566081894	0	69	69	59
Sun Aug 18 00:45:05 2019	1566081905	0	69	69	67
Sun Aug 18 00:45:09 2019	1566081909	0	69	69	55
Sun Aug 18 00:45:01 2019	1566081901	0	69	69	42
Sun Aug 18 00:44:55 2019	1566081895	0	69	69	61
Sun Aug 18 00:44:55 2019	1566081895	0	70	70	66
Sun Aug 18 00:45:08 2019	1566081908	0	70	70	47
Sun Aug 18 00:44:45 2019	1566081885	0	70	70	55
Sun Aug 18 00:44:52 2019	1566081892	0	70	70	53
Sun Aug 18 00:45:08 2019	1566081908	0	70	70	52
Sun Aug 18 00:45:01 2019	1566081901	0	70	70	53
Sun Aug 18 00:45:04 2019	1566081904	0	70	71	62
Sun Aug 18 00:45:00 2019	1566081900	0	71	71	64
Sun Aug 18 00:44:55 2019	1566081895	0	71	71	49
Sun Aug 18 00:45:03 2019	1566081903	0	71	71	66
Sun Aug 18 00:45:04 2019	1566081904	0	71	71	58
Sun Aug 18 00:44:48 2019	1566081888	0	71	71	48
Sun Aug 18 00:45:12 2019	1566081912	0	71	71	57
Sun Aug 18 00:45:02 2019	1566081902	0	71	71	43
Sun Aug 18 00:44:56 2019	1566081896	0	71	71	56
Sun Aug 18 00:45:07 2019	1566081907	0	71	71	62
Sun Aug 18 00:44:52 2019	1566081892	0	71	71	54
Sun Aug 18 00:45:04 2019	1566081904	0	71	72	58
Sun Aug 18 00:44:52 2019	1566081892	0	72	72	61
Sun Aug 18 00:44:56 2019	1566081896	0	72	72	56
Sun Aug 18 00:45:12 2019	1566081912	0	72	72	61
Sun Aug 18 00:45:02 2019	1566081902	0	72	72	67
Sun Aug 18 00:45:04 2019	1566081904	0	72	72	53
Sun Aug 18 00:45:13 2019	1566081913	0	72	72	60
Sun Aug 18 00:44:57 2019	1566081897	0	72	72	51
Sun Aug 18 00:44:49 2019	1566081889	0	72	72	46
Sun Aug 18 00:45:01 2019	1566081901	0	72	72	56
Sun Aug 18 00:44:48 2019	1566081888	0	72	72	51
Sun Aug 18 00:45:08 2019	1566081908	0	73	73	58
Sun Aug 18 00:45:03 2019	1566081903	0	73	73	60
Sun Aug 18 00:44:51 2019	1566081891	0	73	73	66
Sun Aug 18 00:45:12 2019	1566081912	0	73	73	63
Sun Aug 18 00:44:53 2019	1566081893	0	73	73	56
Sun Aug 18 00:44:50 2019	1566081890	0	73	73	51
Sun Aug 18 00:45:07 2019	1566081907	0	73	73	58
Sun Aug 18 00:45:02 2019	1566081902	0	73	73	69
Sun Aug 18 00:45:02 2019	1566081902	0	73	73	49
Sun Aug 18 00:45:10 2019	1566081910	0	73	74	55
Sun Aug 18 00:45:07 2019	1566081907	0	73	74	72
Sun Aug 18 00:44:53 2019	1566081893	0	73	74	52
Sun Aug 18 00:44:47 2019	1566081887	0	73	74	58
Sun Aug 18 00:45:04 2019	1566081904	0	74	74	73
Sun Aug 18 00:45:04 2019	1566081904	0	74	74	65
Sun Aug 18 00:45:03 2019	1566081903	0	74	74	60
Sun Aug 18 00:44:51 2019	1566081891	0	74	74	72
Sun Aug 18 00:45:03 2019	1566081903	0	74	74	68
Sun Aug 18 00:44:49 2019	1566081889	0	74	74	61
Sun Aug 18 00:44:45 2019	1566081885	0	74	74	54
Sun Aug 18 00:44:48 2019	1566081888	0	74	74	50
Sun Aug 18 00:45:11 2019	1566081911	0	74	74	60
Sun Aug 18 00:44:50 2019	1566081890	0	74	75	64
Sun Aug 18 00:45:13 2019	1566081913	0	75	75	65
Sun Aug 18 00:44:48 2019	1566081888	0	75	75	63
Sun Aug 18 00:45:07 2019	1566081907	0	75	75	61
Sun Aug 18 00:44:48 2019	1566081888	0	75	75	60
Sun Aug 18 00:45:02 2019	1566081902	0	75	75	63
Sun Aug 18 00:44:58 2019	1566081898	0	75	75	58
Sun Aug 18 00:45:09 2019	1566081909	0	75	75	72
Sun Aug 18 00:44:57 2019	1566081897	0	75	75	62
Sun Aug 18 00:44:49 2019	1566081889	0	75	75	42
