starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 22 15:05:50 2019	1561215950	0	41	41	37
Sat Jun 22 15:06:04 2019	1561215964	0	46	46	34
Sat Jun 22 15:06:11 2019	1561215971	0	46	46	34
Sat Jun 22 15:06:02 2019	1561215962	0	47	47	34
Sat Jun 22 15:06:11 2019	1561215971	0	47	47	35
Sat Jun 22 15:06:05 2019	1561215965	0	48	48	35
Sat Jun 22 15:06:06 2019	1561215966	0	51	52	42
Sat Jun 22 15:06:05 2019	1561215965	0	52	52	44
Sat Jun 22 15:05:59 2019	1561215959	0	54	54	47
Sat Jun 22 15:06:10 2019	1561215970	0	56	56	42
Sat Jun 22 15:05:59 2019	1561215959	0	56	56	43
Sat Jun 22 15:06:04 2019	1561215964	0	56	57	37
Sat Jun 22 15:06:05 2019	1561215965	0	57	57	50
Sat Jun 22 15:06:11 2019	1561215971	0	57	58	56
Sat Jun 22 15:05:46 2019	1561215946	0	58	58	48
Sat Jun 22 15:06:02 2019	1561215962	0	58	58	57
Sat Jun 22 15:06:05 2019	1561215965	0	59	59	41
Sat Jun 22 15:05:46 2019	1561215946	0	59	59	42
Sat Jun 22 15:06:05 2019	1561215965	0	60	60	56
Sat Jun 22 15:05:54 2019	1561215954	0	60	60	56
Sat Jun 22 15:06:07 2019	1561215967	0	60	61	45
Sat Jun 22 15:05:56 2019	1561215956	0	60	61	56
Sat Jun 22 15:06:08 2019	1561215968	0	61	61	49
Sat Jun 22 15:06:07 2019	1561215967	0	62	62	49
Sat Jun 22 15:05:45 2019	1561215945	0	62	62	54
Sat Jun 22 15:05:49 2019	1561215949	0	62	62	49
Sat Jun 22 15:05:58 2019	1561215958	0	62	62	54
Sat Jun 22 15:05:57 2019	1561215957	0	62	62	56
Sat Jun 22 15:06:10 2019	1561215970	0	62	62	54
Sat Jun 22 15:06:12 2019	1561215972	0	63	63	49
Sat Jun 22 15:06:11 2019	1561215971	0	63	63	59
Sat Jun 22 15:06:06 2019	1561215966	0	63	63	58
Sat Jun 22 15:06:10 2019	1561215970	0	63	63	56
Sat Jun 22 15:06:02 2019	1561215962	0	63	64	45
Sat Jun 22 15:06:09 2019	1561215969	0	63	64	58
Sat Jun 22 15:06:04 2019	1561215964	0	64	64	37
Sat Jun 22 15:05:49 2019	1561215949	0	64	65	54
Sat Jun 22 15:05:53 2019	1561215953	0	64	65	54
Sat Jun 22 15:05:57 2019	1561215957	0	65	65	51
Sat Jun 22 15:05:45 2019	1561215945	0	65	65	44
Sat Jun 22 15:05:46 2019	1561215946	0	64	65	50
