starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 20 12:44:02 2019	1566297842	0	3	3	2
Tue Aug 20 12:44:02 2019	1566297842	1	3	4	1
Tue Aug 20 12:44:02 2019	1566297842	1	4	4	2
Tue Aug 20 12:44:02 2019	1566297842	0	5	6	3
Tue Aug 20 12:44:03 2019	1566297843	0	9	9	8
Tue Aug 20 12:44:02 2019	1566297842	0	9	9	4
Tue Aug 20 12:44:09 2019	1566297849	0	10	10	8
Tue Aug 20 12:44:04 2019	1566297844	0	10	10	9
Tue Aug 20 12:44:09 2019	1566297849	0	10	10	8
Tue Aug 20 12:44:04 2019	1566297844	0	10	10	9
Tue Aug 20 12:44:04 2019	1566297844	0	10	10	8
Tue Aug 20 12:44:09 2019	1566297849	0	10	10	9
Tue Aug 20 12:44:13 2019	1566297853	0	10	10	10
Tue Aug 20 12:44:03 2019	1566297843	0	10	10	10
Tue Aug 20 12:44:04 2019	1566297844	0	10	10	9
Tue Aug 20 12:44:03 2019	1566297843	0	10	10	9
Tue Aug 20 12:44:09 2019	1566297849	0	10	11	9
Tue Aug 20 12:44:03 2019	1566297843	0	11	11	9
Tue Aug 20 12:44:04 2019	1566297844	0	11	11	9
Tue Aug 20 12:44:04 2019	1566297844	0	11	11	9
Tue Aug 20 12:44:09 2019	1566297849	0	11	11	9
Tue Aug 20 12:44:04 2019	1566297844	0	11	11	9
Tue Aug 20 12:44:04 2019	1566297844	0	11	11	10
Tue Aug 20 12:44:09 2019	1566297849	0	11	11	10
Tue Aug 20 12:44:04 2019	1566297844	0	11	11	10
Tue Aug 20 12:44:04 2019	1566297844	0	11	11	9
Tue Aug 20 12:44:04 2019	1566297844	0	11	11	9
Tue Aug 20 12:44:04 2019	1566297844	0	11	11	10
Tue Aug 20 12:44:04 2019	1566297844	0	11	11	9
Tue Aug 20 12:44:04 2019	1566297844	0	11	11	10
Tue Aug 20 12:44:04 2019	1566297844	0	11	11	10
Tue Aug 20 12:44:04 2019	1566297844	0	11	11	9
Tue Aug 20 12:44:04 2019	1566297844	0	11	11	8
Tue Aug 20 12:44:04 2019	1566297844	0	11	11	10
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	10
Tue Aug 20 12:44:02 2019	1566297842	0	11	12	7
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	10
Tue Aug 20 12:44:03 2019	1566297843	0	12	12	10
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	9
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	10
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	10
Tue Aug 20 12:44:02 2019	1566297842	0	11	12	6
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	10
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	10
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	9
Tue Aug 20 12:44:09 2019	1566297849	0	12	12	8
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	9
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	10
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	10
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	10
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	11
Tue Aug 20 12:44:09 2019	1566297849	0	12	12	10
Tue Aug 20 12:44:09 2019	1566297849	0	12	12	10
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	10
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	10
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	10
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	11
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	9
Tue Aug 20 12:44:04 2019	1566297844	0	12	12	10
