starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 17 00:03:38 2019	1565993018	0	3	4	1
Sat Aug 17 00:03:38 2019	1565993018	0	5	5	1
Sat Aug 17 00:03:38 2019	1565993018	0	5	5	3
Sat Aug 17 00:03:38 2019	1565993018	0	6	7	2
Sat Aug 17 00:03:38 2019	1565993018	0	7	7	4
Sat Aug 17 00:03:38 2019	1565993018	0	8	8	6
Sat Aug 17 00:03:38 2019	1565993018	0	10	10	7
Sat Aug 17 00:03:38 2019	1565993018	0	10	10	8
Sat Aug 17 00:04:03 2019	1565993043	0	11	11	10
Sat Aug 17 00:04:03 2019	1565993043	0	12	12	10
Sat Aug 17 00:03:38 2019	1565993018	0	12	12	9
Sat Aug 17 00:03:45 2019	1565993025	0	12	12	11
Sat Aug 17 00:03:51 2019	1565993031	0	12	12	10
Sat Aug 17 00:03:51 2019	1565993031	0	13	13	10
Sat Aug 17 00:03:55 2019	1565993035	0	13	13	11
Sat Aug 17 00:03:45 2019	1565993025	0	13	13	12
Sat Aug 17 00:03:55 2019	1565993035	0	13	13	12
Sat Aug 17 00:03:38 2019	1565993018	0	13	13	11
Sat Aug 17 00:03:44 2019	1565993024	0	13	13	10
Sat Aug 17 00:03:51 2019	1565993031	0	13	13	12
Sat Aug 17 00:04:03 2019	1565993043	0	13	13	11
Sat Aug 17 00:03:57 2019	1565993037	0	14	14	11
Sat Aug 17 00:04:02 2019	1565993042	0	14	14	10
Sat Aug 17 00:04:04 2019	1565993044	0	14	14	12
Sat Aug 17 00:03:38 2019	1565993018	0	14	14	12
Sat Aug 17 00:03:56 2019	1565993036	0	14	14	10
Sat Aug 17 00:03:44 2019	1565993024	0	14	14	13
Sat Aug 17 00:03:44 2019	1565993024	0	14	14	13
Sat Aug 17 00:03:38 2019	1565993018	0	14	14	11
Sat Aug 17 00:03:46 2019	1565993026	0	14	14	11
Sat Aug 17 00:04:03 2019	1565993043	0	14	14	12
Sat Aug 17 00:03:57 2019	1565993037	0	14	14	12
Sat Aug 17 00:03:38 2019	1565993018	0	14	14	12
Sat Aug 17 00:03:56 2019	1565993036	0	14	14	11
Sat Aug 17 00:04:02 2019	1565993042	0	14	14	11
Sat Aug 17 00:03:55 2019	1565993035	0	14	14	13
Sat Aug 17 00:04:04 2019	1565993044	0	14	14	10
Sat Aug 17 00:03:50 2019	1565993030	0	14	14	13
Sat Aug 17 00:03:44 2019	1565993024	0	14	14	11
Sat Aug 17 00:04:05 2019	1565993045	0	14	14	13
Sat Aug 17 00:04:03 2019	1565993043	0	14	14	12
Sat Aug 17 00:03:46 2019	1565993026	0	14	14	12
Sat Aug 17 00:03:50 2019	1565993030	0	14	14	13
Sat Aug 17 00:04:02 2019	1565993042	0	15	15	9
Sat Aug 17 00:03:52 2019	1565993032	0	15	15	14
Sat Aug 17 00:03:57 2019	1565993037	0	15	15	12
Sat Aug 17 00:04:02 2019	1565993042	0	15	15	11
Sat Aug 17 00:03:42 2019	1565993022	0	15	15	12
Sat Aug 17 00:03:56 2019	1565993036	0	15	15	13
Sat Aug 17 00:03:49 2019	1565993029	0	15	15	12
Sat Aug 17 00:03:51 2019	1565993031	0	15	15	13
Sat Aug 17 00:03:44 2019	1565993024	0	15	15	10
Sat Aug 17 00:03:56 2019	1565993036	0	15	15	12
Sat Aug 17 00:04:07 2019	1565993047	0	15	15	11
Sat Aug 17 00:03:49 2019	1565993029	0	15	15	13
Sat Aug 17 00:03:57 2019	1565993037	0	15	15	11
Sat Aug 17 00:04:03 2019	1565993043	0	15	15	13
Sat Aug 17 00:03:42 2019	1565993022	0	15	15	13
Sat Aug 17 00:04:04 2019	1565993044	0	15	15	14
Sat Aug 17 00:03:58 2019	1565993038	0	15	15	13
Sat Aug 17 00:04:03 2019	1565993043	0	15	15	11
Sat Aug 17 00:03:45 2019	1565993025	0	15	15	13
Sat Aug 17 00:03:44 2019	1565993024	0	15	15	14
Sat Aug 17 00:03:44 2019	1565993024	0	15	15	12
Sat Aug 17 00:04:03 2019	1565993043	0	15	15	14
Sat Aug 17 00:03:42 2019	1565993022	0	15	15	12
Sat Aug 17 00:03:45 2019	1565993025	0	15	15	12
Sat Aug 17 00:03:48 2019	1565993028	0	15	15	13
Sat Aug 17 00:03:49 2019	1565993029	0	15	15	14
Sat Aug 17 00:03:54 2019	1565993034	0	15	15	14
Sat Aug 17 00:03:44 2019	1565993024	0	15	15	13
Sat Aug 17 00:03:45 2019	1565993025	0	15	15	13
Sat Aug 17 00:04:07 2019	1565993047	0	15	15	11
Sat Aug 17 00:03:44 2019	1565993024	0	15	15	12
Sat Aug 17 00:04:02 2019	1565993042	0	15	15	12
Sat Aug 17 00:03:56 2019	1565993036	0	15	15	12
Sat Aug 17 00:03:51 2019	1565993031	0	15	15	12
Sat Aug 17 00:04:03 2019	1565993043	0	15	15	13
Sat Aug 17 00:03:47 2019	1565993027	0	15	15	14
Sat Aug 17 00:04:04 2019	1565993044	0	15	15	12
Sat Aug 17 00:03:57 2019	1565993037	0	15	15	13
Sat Aug 17 00:04:04 2019	1565993044	0	15	15	13
Sat Aug 17 00:04:04 2019	1565993044	0	15	15	11
Sat Aug 17 00:03:38 2019	1565993018	0	15	15	10
Sat Aug 17 00:03:44 2019	1565993024	0	15	15	14
Sat Aug 17 00:04:07 2019	1565993047	0	15	15	14
Sat Aug 17 00:03:40 2019	1565993020	0	15	15	13
Sat Aug 17 00:03:57 2019	1565993037	0	15	15	12
Sat Aug 17 00:03:57 2019	1565993037	0	15	15	12
Sat Aug 17 00:03:54 2019	1565993034	0	15	15	12
Sat Aug 17 00:03:39 2019	1565993019	0	15	15	14
Sat Aug 17 00:03:57 2019	1565993037	0	15	15	14
Sat Aug 17 00:04:02 2019	1565993042	0	15	15	12
Sat Aug 17 00:03:57 2019	1565993037	0	15	15	14
Sat Aug 17 00:03:55 2019	1565993035	0	15	15	13
Sat Aug 17 00:04:01 2019	1565993041	0	15	15	13
Sat Aug 17 00:03:56 2019	1565993036	0	15	15	13
Sat Aug 17 00:03:51 2019	1565993031	0	15	15	13
Sat Aug 17 00:04:03 2019	1565993043	0	15	16	11
Sat Aug 17 00:04:03 2019	1565993043	0	15	16	13
Sat Aug 17 00:04:04 2019	1565993044	0	15	16	13
Sat Aug 17 00:04:07 2019	1565993047	0	15	16	13
Sat Aug 17 00:04:02 2019	1565993042	0	15	16	9
Sat Aug 17 00:04:00 2019	1565993040	0	15	16	14
Sat Aug 17 00:03:59 2019	1565993039	0	16	16	13
Sat Aug 17 00:03:52 2019	1565993032	0	16	16	13
Sat Aug 17 00:03:51 2019	1565993031	0	16	16	13
Sat Aug 17 00:04:05 2019	1565993045	0	16	16	14
Sat Aug 17 00:04:02 2019	1565993042	0	16	16	13
Sat Aug 17 00:04:08 2019	1565993048	0	16	16	13
Sat Aug 17 00:03:50 2019	1565993030	0	16	16	14
Sat Aug 17 00:04:05 2019	1565993045	0	16	16	14
Sat Aug 17 00:03:40 2019	1565993020	0	16	16	13
Sat Aug 17 00:03:42 2019	1565993022	0	16	16	11
Sat Aug 17 00:04:06 2019	1565993046	0	16	16	12
Sat Aug 17 00:04:07 2019	1565993047	0	16	16	12
Sat Aug 17 00:03:42 2019	1565993022	0	16	16	12
Sat Aug 17 00:03:47 2019	1565993027	0	16	16	14
Sat Aug 17 00:03:56 2019	1565993036	0	16	16	14
Sat Aug 17 00:04:05 2019	1565993045	0	16	16	13
Sat Aug 17 00:03:55 2019	1565993035	0	16	16	13
Sat Aug 17 00:03:44 2019	1565993024	0	16	16	14
Sat Aug 17 00:03:43 2019	1565993023	0	16	16	11
Sat Aug 17 00:03:55 2019	1565993035	0	16	16	14
Sat Aug 17 00:04:01 2019	1565993041	0	16	16	12
Sat Aug 17 00:03:42 2019	1565993022	0	16	16	14
Sat Aug 17 00:03:56 2019	1565993036	0	16	16	11
Sat Aug 17 00:04:01 2019	1565993041	0	16	16	10
Sat Aug 17 00:03:46 2019	1565993026	0	16	16	14
Sat Aug 17 00:03:49 2019	1565993029	0	16	16	13
Sat Aug 17 00:04:01 2019	1565993041	0	16	16	13
Sat Aug 17 00:03:38 2019	1565993018	0	16	16	13
Sat Aug 17 00:03:43 2019	1565993023	0	16	16	13
Sat Aug 17 00:04:04 2019	1565993044	0	16	16	13
Sat Aug 17 00:03:55 2019	1565993035	0	16	16	13
Sat Aug 17 00:03:56 2019	1565993036	0	16	16	12
Sat Aug 17 00:04:06 2019	1565993046	0	16	16	13
Sat Aug 17 00:03:39 2019	1565993019	0	16	16	14
Sat Aug 17 00:03:56 2019	1565993036	0	16	16	14
Sat Aug 17 00:03:42 2019	1565993022	0	16	16	13
Sat Aug 17 00:04:07 2019	1565993047	0	16	16	12
Sat Aug 17 00:03:57 2019	1565993037	0	16	16	13
Sat Aug 17 00:03:59 2019	1565993039	0	16	16	13
Sat Aug 17 00:04:04 2019	1565993044	0	16	16	13
Sat Aug 17 00:03:43 2019	1565993023	0	16	16	13
Sat Aug 17 00:03:48 2019	1565993028	0	16	16	14
Sat Aug 17 00:03:45 2019	1565993025	0	16	16	14
Sat Aug 17 00:03:48 2019	1565993028	0	16	16	14
Sat Aug 17 00:03:44 2019	1565993024	0	16	16	13
Sat Aug 17 00:03:58 2019	1565993038	0	16	16	14
Sat Aug 17 00:04:03 2019	1565993043	0	16	16	14
Sat Aug 17 00:03:45 2019	1565993025	0	16	16	15
Sat Aug 17 00:03:44 2019	1565993024	0	16	16	14
Sat Aug 17 00:04:06 2019	1565993046	0	16	16	12
Sat Aug 17 00:04:03 2019	1565993043	0	16	16	14
Sat Aug 17 00:03:57 2019	1565993037	0	16	16	13
Sat Aug 17 00:04:07 2019	1565993047	0	16	16	14
Sat Aug 17 00:03:50 2019	1565993030	0	16	16	13
