starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 22 15:00:02 2019	1561215602	0	2	2	1
Sat Jun 22 14:59:53 2019	1561215593	0	4	4	2
Sat Jun 22 14:59:41 2019	1561215581	1	5	6	3
Sat Jun 22 14:59:53 2019	1561215593	0	7	8	7
Sat Jun 22 15:00:02 2019	1561215602	0	8	8	7
Sat Jun 22 14:59:41 2019	1561215581	1	7	8	4
Sat Jun 22 14:59:58 2019	1561215598	0	8	8	7
Sat Jun 22 14:59:46 2019	1561215586	0	8	8	4
Sat Jun 22 14:59:46 2019	1561215586	1	8	9	8
Sat Jun 22 14:59:41 2019	1561215581	0	8	9	7
Sat Jun 22 14:59:49 2019	1561215589	0	9	9	8
Sat Jun 22 14:59:58 2019	1561215598	0	9	9	6
Sat Jun 22 14:59:54 2019	1561215594	0	9	9	7
Sat Jun 22 14:59:54 2019	1561215594	0	9	9	7
Sat Jun 22 15:00:06 2019	1561215606	0	9	9	9
Sat Jun 22 14:59:52 2019	1561215592	0	9	9	8
Sat Jun 22 15:00:03 2019	1561215603	0	9	9	5
Sat Jun 22 14:59:59 2019	1561215599	0	9	9	3
Sat Jun 22 14:59:52 2019	1561215592	0	9	9	9
Sat Jun 22 14:59:49 2019	1561215589	0	9	9	9
Sat Jun 22 14:59:52 2019	1561215592	0	9	10	9
Sat Jun 22 15:00:10 2019	1561215610	0	9	10	9
Sat Jun 22 15:00:00 2019	1561215600	0	9	10	6
Sat Jun 22 15:00:03 2019	1561215603	0	10	10	6
Sat Jun 22 14:59:41 2019	1561215581	0	9	10	8
Sat Jun 22 14:59:59 2019	1561215599	0	10	10	6
Sat Jun 22 15:00:06 2019	1561215606	0	10	10	9
Sat Jun 22 14:59:52 2019	1561215592	0	10	10	7
Sat Jun 22 15:00:03 2019	1561215603	0	10	10	8
Sat Jun 22 14:59:53 2019	1561215593	0	10	10	9
Sat Jun 22 14:59:58 2019	1561215598	0	10	10	9
Sat Jun 22 14:59:54 2019	1561215594	0	10	10	9
Sat Jun 22 14:59:49 2019	1561215589	0	10	10	9
Sat Jun 22 14:59:50 2019	1561215590	0	10	10	7
Sat Jun 22 14:59:49 2019	1561215589	0	10	10	8
