starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 20 12:09:43 2019	1566295783	0	30	30	29
Tue Aug 20 12:10:12 2019	1566295812	0	265	265	245
Tue Aug 20 12:09:59 2019	1566295799	0	268	268	222
Tue Aug 20 12:09:45 2019	1566295785	0	273	274	253
Tue Aug 20 12:10:04 2019	1566295804	0	278	278	251
Tue Aug 20 12:09:48 2019	1566295788	0	280	280	243
Tue Aug 20 12:09:49 2019	1566295789	0	280	280	251
Tue Aug 20 12:10:09 2019	1566295809	0	280	280	247
Tue Aug 20 12:09:54 2019	1566295794	0	281	281	238
Tue Aug 20 12:09:47 2019	1566295787	0	282	282	246
Tue Aug 20 12:10:04 2019	1566295804	0	286	286	255
Tue Aug 20 12:09:53 2019	1566295793	0	287	287	224
Tue Aug 20 12:10:04 2019	1566295804	0	287	287	241
Tue Aug 20 12:09:56 2019	1566295796	0	288	288	261
Tue Aug 20 12:09:48 2019	1566295788	0	288	288	227
Tue Aug 20 12:09:50 2019	1566295790	0	288	288	265
Tue Aug 20 12:09:44 2019	1566295784	0	292	292	269
Tue Aug 20 12:10:10 2019	1566295810	0	295	295	281
Tue Aug 20 12:09:45 2019	1566295785	0	295	295	253
Tue Aug 20 12:09:53 2019	1566295793	0	297	297	274
Tue Aug 20 12:10:01 2019	1566295801	0	297	297	267
Tue Aug 20 12:09:45 2019	1566295785	0	298	298	248
Tue Aug 20 12:09:45 2019	1566295785	0	298	298	238
Tue Aug 20 12:09:50 2019	1566295790	0	299	300	262
Tue Aug 20 12:09:44 2019	1566295784	0	301	301	265
Tue Aug 20 12:10:04 2019	1566295804	0	301	302	264
Tue Aug 20 12:09:56 2019	1566295796	0	302	302	274
Tue Aug 20 12:10:12 2019	1566295812	0	302	302	282
Tue Aug 20 12:09:43 2019	1566295783	0	302	302	254
Tue Aug 20 12:09:46 2019	1566295786	0	303	303	285
Tue Aug 20 12:09:55 2019	1566295795	0	305	305	266
Tue Aug 20 12:09:50 2019	1566295790	0	306	306	261
Tue Aug 20 12:09:55 2019	1566295795	0	307	307	276
Tue Aug 20 12:09:50 2019	1566295790	0	307	307	285
Tue Aug 20 12:10:02 2019	1566295802	0	309	309	262
Tue Aug 20 12:10:07 2019	1566295807	0	312	312	293
Tue Aug 20 12:09:54 2019	1566295794	0	314	314	268
Tue Aug 20 12:09:53 2019	1566295793	0	314	314	283
Tue Aug 20 12:09:46 2019	1566295786	0	314	314	285
Tue Aug 20 12:09:44 2019	1566295784	0	314	315	271
Tue Aug 20 12:09:49 2019	1566295789	0	315	315	298
Tue Aug 20 12:09:45 2019	1566295785	0	315	315	276
Tue Aug 20 12:10:08 2019	1566295808	0	316	316	265
Tue Aug 20 12:10:04 2019	1566295804	0	316	316	294
Tue Aug 20 12:10:02 2019	1566295802	0	316	316	280
Tue Aug 20 12:10:06 2019	1566295806	0	316	317	289
Tue Aug 20 12:09:55 2019	1566295795	0	317	317	295
Tue Aug 20 12:09:46 2019	1566295786	0	317	317	291
Tue Aug 20 12:09:57 2019	1566295797	0	318	318	286
Tue Aug 20 12:09:55 2019	1566295795	0	318	318	277
Tue Aug 20 12:10:08 2019	1566295808	0	318	318	273
Tue Aug 20 12:09:44 2019	1566295784	0	318	319	266
Tue Aug 20 12:09:49 2019	1566295789	0	319	319	289
Tue Aug 20 12:10:06 2019	1566295806	0	320	320	300
Tue Aug 20 12:09:53 2019	1566295793	0	321	321	296
Tue Aug 20 12:10:12 2019	1566295812	0	321	321	281
Tue Aug 20 12:10:02 2019	1566295802	0	321	321	288
Tue Aug 20 12:10:01 2019	1566295801	0	321	321	279
Tue Aug 20 12:09:53 2019	1566295793	0	321	322	286
Tue Aug 20 12:10:11 2019	1566295811	0	322	322	283
Tue Aug 20 12:10:04 2019	1566295804	0	322	322	264
Tue Aug 20 12:10:05 2019	1566295805	0	322	322	274
Tue Aug 20 12:09:58 2019	1566295798	0	322	322	276
Tue Aug 20 12:09:44 2019	1566295784	0	322	322	309
Tue Aug 20 12:09:53 2019	1566295793	0	322	322	296
Tue Aug 20 12:09:57 2019	1566295797	0	322	322	274
Tue Aug 20 12:09:59 2019	1566295799	0	323	323	297
Tue Aug 20 12:09:56 2019	1566295796	0	323	323	305
Tue Aug 20 12:09:57 2019	1566295797	0	323	323	304
Tue Aug 20 12:09:48 2019	1566295788	0	323	323	283
Tue Aug 20 12:10:11 2019	1566295811	0	323	324	300
Tue Aug 20 12:09:54 2019	1566295794	0	324	324	291
Tue Aug 20 12:10:12 2019	1566295812	0	324	325	311
Tue Aug 20 12:10:05 2019	1566295805	0	325	325	281
Tue Aug 20 12:09:47 2019	1566295787	0	325	325	256
Tue Aug 20 12:09:50 2019	1566295790	0	325	325	274
Tue Aug 20 12:09:52 2019	1566295792	0	325	325	309
Tue Aug 20 12:10:10 2019	1566295810	0	326	326	289
Tue Aug 20 12:10:07 2019	1566295807	0	326	326	291
Tue Aug 20 12:10:08 2019	1566295808	0	326	327	305
Tue Aug 20 12:10:00 2019	1566295800	0	327	327	281
Tue Aug 20 12:10:07 2019	1566295807	0	327	327	295
Tue Aug 20 12:09:55 2019	1566295795	0	327	327	310
Tue Aug 20 12:09:46 2019	1566295786	0	327	327	294
