starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 20 12:10:13 2019	1566295813	0	30	30	29
Tue Aug 20 12:10:38 2019	1566295838	0	35	35	34
Tue Aug 20 12:10:39 2019	1566295839	0	35	35	35
Tue Aug 20 12:10:17 2019	1566295817	0	35	35	35
Tue Aug 20 12:10:27 2019	1566295827	0	35	35	35
Tue Aug 20 12:10:33 2019	1566295833	0	35	35	35
Tue Aug 20 12:10:35 2019	1566295835	0	35	35	35
Tue Aug 20 12:10:40 2019	1566295840	0	35	35	35
Tue Aug 20 12:10:19 2019	1566295819	0	35	35	35
Tue Aug 20 12:10:40 2019	1566295840	0	35	35	35
Tue Aug 20 12:10:31 2019	1566295831	0	35	35	35
Tue Aug 20 12:10:24 2019	1566295824	0	35	36	34
Tue Aug 20 12:10:22 2019	1566295822	0	35	36	35
Tue Aug 20 12:10:32 2019	1566295832	0	36	36	35
Tue Aug 20 12:10:30 2019	1566295830	0	36	36	35
Tue Aug 20 12:10:14 2019	1566295814	0	36	36	35
Tue Aug 20 12:10:14 2019	1566295814	0	36	36	35
Tue Aug 20 12:10:42 2019	1566295842	0	36	36	35
Tue Aug 20 12:10:40 2019	1566295840	0	36	36	35
Tue Aug 20 12:10:32 2019	1566295832	0	36	36	35
Tue Aug 20 12:10:39 2019	1566295839	0	36	36	35
Tue Aug 20 12:10:37 2019	1566295837	0	36	36	35
Tue Aug 20 12:10:17 2019	1566295817	0	36	36	35
Tue Aug 20 12:10:24 2019	1566295824	0	36	36	35
Tue Aug 20 12:10:40 2019	1566295840	0	36	36	35
Tue Aug 20 12:10:42 2019	1566295842	0	36	36	35
Tue Aug 20 12:10:16 2019	1566295816	0	36	36	35
Tue Aug 20 12:10:26 2019	1566295826	0	36	36	35
Tue Aug 20 12:10:35 2019	1566295835	0	36	36	35
Tue Aug 20 12:10:34 2019	1566295834	0	36	36	35
Tue Aug 20 12:10:40 2019	1566295840	0	36	36	35
Tue Aug 20 12:10:30 2019	1566295830	0	36	36	35
Tue Aug 20 12:10:28 2019	1566295828	0	36	36	35
Tue Aug 20 12:10:31 2019	1566295831	0	36	36	35
Tue Aug 20 12:10:29 2019	1566295829	0	36	36	35
Tue Aug 20 12:10:19 2019	1566295819	0	36	36	35
Tue Aug 20 12:10:30 2019	1566295830	0	36	36	35
