starttime	seconds	ctime	dtime	ttime	wait
Tue Aug 20 12:09:26 2019	1566295766	0	9	10	9
Tue Aug 20 12:09:31 2019	1566295771	0	10	10	9
Tue Aug 20 12:09:14 2019	1566295754	0	10	10	10
Tue Aug 20 12:09:23 2019	1566295763	0	10	10	10
Tue Aug 20 12:09:27 2019	1566295767	0	10	10	10
Tue Aug 20 12:09:17 2019	1566295757	0	10	10	10
Tue Aug 20 12:09:22 2019	1566295762	0	10	10	10
Tue Aug 20 12:09:18 2019	1566295758	0	10	10	10
Tue Aug 20 12:09:37 2019	1566295777	0	10	10	10
Tue Aug 20 12:09:25 2019	1566295765	0	10	10	10
Tue Aug 20 12:09:27 2019	1566295767	0	10	10	10
Tue Aug 20 12:09:37 2019	1566295777	0	10	10	10
Tue Aug 20 12:09:36 2019	1566295776	0	10	10	10
Tue Aug 20 12:09:41 2019	1566295781	0	10	10	10
Tue Aug 20 12:09:33 2019	1566295773	0	10	11	10
Tue Aug 20 12:09:31 2019	1566295771	0	10	11	10
Tue Aug 20 12:09:41 2019	1566295781	0	11	11	10
Tue Aug 20 12:09:14 2019	1566295754	0	11	11	10
Tue Aug 20 12:09:27 2019	1566295767	0	11	11	10
Tue Aug 20 12:09:14 2019	1566295754	0	11	11	10
Tue Aug 20 12:09:22 2019	1566295762	0	11	11	11
Tue Aug 20 12:09:42 2019	1566295782	0	11	11	10
Tue Aug 20 12:09:29 2019	1566295769	0	11	11	11
Tue Aug 20 12:09:29 2019	1566295769	0	11	11	10
Tue Aug 20 12:09:36 2019	1566295776	0	11	11	11
Tue Aug 20 12:09:19 2019	1566295759	0	11	11	10
Tue Aug 20 12:09:36 2019	1566295776	0	11	11	10
Tue Aug 20 12:09:30 2019	1566295770	0	11	11	10
Tue Aug 20 12:09:31 2019	1566295771	0	11	11	11
Tue Aug 20 12:09:20 2019	1566295760	0	11	11	11
Tue Aug 20 12:09:14 2019	1566295754	0	11	11	11
Tue Aug 20 12:09:21 2019	1566295761	0	11	11	11
Tue Aug 20 12:09:22 2019	1566295762	0	11	11	11
Tue Aug 20 12:09:19 2019	1566295759	0	11	11	11
Tue Aug 20 12:09:17 2019	1566295757	0	11	11	11
Tue Aug 20 12:09:36 2019	1566295776	0	11	11	11
Tue Aug 20 12:09:23 2019	1566295763	0	11	11	11
