starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 17 00:11:56 2019	1565993516	0	10	10	10
Sat Aug 17 00:11:54 2019	1565993514	0	10	10	10
Sat Aug 17 00:11:54 2019	1565993514	0	10	10	10
Sat Aug 17 00:11:47 2019	1565993507	0	10	10	10
Sat Aug 17 00:11:54 2019	1565993514	0	10	10	10
Sat Aug 17 00:11:52 2019	1565993512	0	10	10	10
Sat Aug 17 00:11:40 2019	1565993500	0	10	10	10
Sat Aug 17 00:11:58 2019	1565993518	0	10	10	10
Sat Aug 17 00:11:57 2019	1565993517	0	10	10	10
Sat Aug 17 00:11:55 2019	1565993515	0	10	10	10
Sat Aug 17 00:11:41 2019	1565993501	0	10	10	10
Sat Aug 17 00:11:58 2019	1565993518	0	10	10	10
Sat Aug 17 00:11:56 2019	1565993516	0	10	10	10
Sat Aug 17 00:11:48 2019	1565993508	0	10	10	10
Sat Aug 17 00:11:53 2019	1565993513	0	10	10	10
Sat Aug 17 00:11:48 2019	1565993508	0	10	10	10
Sat Aug 17 00:11:56 2019	1565993516	0	10	10	10
Sat Aug 17 00:11:52 2019	1565993512	0	10	10	10
Sat Aug 17 00:11:56 2019	1565993516	0	10	10	10
Sat Aug 17 00:12:00 2019	1565993520	0	10	10	10
Sat Aug 17 00:11:48 2019	1565993508	0	10	10	10
Sat Aug 17 00:11:55 2019	1565993515	0	10	10	10
Sat Aug 17 00:11:51 2019	1565993511	0	10	10	10
Sat Aug 17 00:12:01 2019	1565993521	0	10	10	10
Sat Aug 17 00:11:46 2019	1565993506	0	10	10	10
Sat Aug 17 00:11:56 2019	1565993516	0	10	10	10
Sat Aug 17 00:11:47 2019	1565993507	0	10	10	10
Sat Aug 17 00:11:50 2019	1565993510	0	10	10	10
Sat Aug 17 00:11:56 2019	1565993516	0	10	10	10
Sat Aug 17 00:11:50 2019	1565993510	0	10	10	10
Sat Aug 17 00:11:53 2019	1565993513	0	10	10	10
Sat Aug 17 00:11:49 2019	1565993509	0	10	10	10
Sat Aug 17 00:11:54 2019	1565993514	0	10	10	10
Sat Aug 17 00:11:58 2019	1565993518	0	10	10	10
Sat Aug 17 00:11:54 2019	1565993514	0	10	10	10
Sat Aug 17 00:11:54 2019	1565993514	0	10	10	10
Sat Aug 17 00:11:55 2019	1565993515	0	10	10	10
Sat Aug 17 00:11:56 2019	1565993516	0	10	10	10
Sat Aug 17 00:11:59 2019	1565993519	0	10	10	10
Sat Aug 17 00:11:54 2019	1565993514	0	10	10	10
Sat Aug 17 00:11:59 2019	1565993519	0	10	10	10
Sat Aug 17 00:11:51 2019	1565993511	0	10	10	10
Sat Aug 17 00:11:55 2019	1565993515	0	10	10	10
Sat Aug 17 00:11:55 2019	1565993515	0	10	10	10
Sat Aug 17 00:11:47 2019	1565993507	0	10	10	10
Sat Aug 17 00:11:54 2019	1565993514	0	10	10	10
Sat Aug 17 00:11:46 2019	1565993506	0	10	10	10
Sat Aug 17 00:11:47 2019	1565993507	0	10	10	10
Sat Aug 17 00:11:54 2019	1565993514	0	10	10	10
Sat Aug 17 00:11:59 2019	1565993519	0	10	10	10
Sat Aug 17 00:11:49 2019	1565993509	0	10	10	10
Sat Aug 17 00:11:54 2019	1565993514	0	10	10	10
Sat Aug 17 00:11:52 2019	1565993512	0	10	10	10
Sat Aug 17 00:11:55 2019	1565993515	0	10	10	10
Sat Aug 17 00:11:58 2019	1565993518	0	10	10	10
Sat Aug 17 00:11:51 2019	1565993511	0	10	10	10
Sat Aug 17 00:11:48 2019	1565993508	0	10	10	10
Sat Aug 17 00:11:49 2019	1565993509	0	10	10	10
Sat Aug 17 00:11:52 2019	1565993512	0	10	10	10
Sat Aug 17 00:11:51 2019	1565993511	0	10	10	10
Sat Aug 17 00:11:59 2019	1565993519	0	10	10	10
Sat Aug 17 00:11:47 2019	1565993507	0	10	10	10
Sat Aug 17 00:11:50 2019	1565993510	0	10	10	10
Sat Aug 17 00:11:53 2019	1565993513	0	10	10	10
Sat Aug 17 00:11:49 2019	1565993509	0	10	10	10
Sat Aug 17 00:11:52 2019	1565993512	0	10	10	10
Sat Aug 17 00:11:52 2019	1565993512	0	10	10	10
