starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 22 15:07:40 2019	1561216060	0	149	149	148
Sat Jun 22 15:07:13 2019	1561216033	0	149	149	149
Sat Jun 22 15:07:28 2019	1561216048	0	154	154	154
Sat Jun 22 15:07:34 2019	1561216054	0	162	162	161
Sat Jun 22 15:07:36 2019	1561216056	0	166	166	166
Sat Jun 22 15:07:35 2019	1561216055	0	167	167	166
Sat Jun 22 15:07:29 2019	1561216049	0	176	177	175
Sat Jun 22 15:07:18 2019	1561216038	0	178	179	178
Sat Jun 22 15:07:30 2019	1561216050	0	183	183	175
Sat Jun 22 15:07:14 2019	1561216034	0	186	186	186
Sat Jun 22 15:07:26 2019	1561216046	0	188	189	188
Sat Jun 22 15:07:21 2019	1561216041	0	191	192	186
Sat Jun 22 15:07:40 2019	1561216060	0	191	192	191
Sat Jun 22 15:07:41 2019	1561216061	0	195	195	195
Sat Jun 22 15:07:17 2019	1561216037	0	197	197	196
Sat Jun 22 15:07:14 2019	1561216034	0	204	204	204
Sat Jun 22 15:07:34 2019	1561216054	0	206	206	206
Sat Jun 22 15:07:13 2019	1561216033	0	214	214	214
Sat Jun 22 15:07:28 2019	1561216048	0	215	216	215
Sat Jun 22 15:07:40 2019	1561216060	0	217	217	217
Sat Jun 22 15:07:29 2019	1561216049	0	217	218	217
Sat Jun 22 15:07:36 2019	1561216056	0	223	223	223
Sat Jun 22 15:07:17 2019	1561216037	0	225	225	225
Sat Jun 22 15:07:40 2019	1561216060	0	225	226	225
Sat Jun 22 15:07:40 2019	1561216060	0	228	228	227
Sat Jun 22 15:07:17 2019	1561216037	0	229	229	228
Sat Jun 22 15:07:30 2019	1561216050	0	233	234	233
Sat Jun 22 15:07:21 2019	1561216041	0	233	234	233
Sat Jun 22 15:07:25 2019	1561216045	0	234	234	233
Sat Jun 22 15:07:26 2019	1561216046	0	236	237	236
Sat Jun 22 15:07:21 2019	1561216041	0	237	237	237
Sat Jun 22 15:07:29 2019	1561216049	0	237	237	236
Sat Jun 22 15:07:42 2019	1561216062	0	238	239	238
Sat Jun 22 15:07:38 2019	1561216058	0	238	239	238
Sat Jun 22 15:07:18 2019	1561216038	0	239	239	238
Sat Jun 22 15:07:40 2019	1561216060	0	242	242	241
Sat Jun 22 15:07:35 2019	1561216055	0	244	244	243
Sat Jun 22 15:07:27 2019	1561216047	0	244	244	243
Sat Jun 22 15:07:14 2019	1561216034	0	245	245	245
Sat Jun 22 15:07:34 2019	1561216054	0	246	246	246
Sat Jun 22 15:07:34 2019	1561216054	0	249	249	249
Sat Jun 22 15:07:32 2019	1561216052	0	249	250	249
Sat Jun 22 15:07:31 2019	1561216051	0	250	251	250
Sat Jun 22 15:07:19 2019	1561216039	0	253	253	253
Sat Jun 22 15:07:32 2019	1561216052	0	253	253	253
Sat Jun 22 15:07:36 2019	1561216056	0	255	255	255
Sat Jun 22 15:07:35 2019	1561216055	0	255	255	254
Sat Jun 22 15:07:31 2019	1561216051	0	256	256	255
Sat Jun 22 15:07:31 2019	1561216051	0	256	256	256
Sat Jun 22 15:07:28 2019	1561216048	0	256	256	256
Sat Jun 22 15:07:20 2019	1561216040	0	257	257	256
Sat Jun 22 15:07:20 2019	1561216040	0	258	259	258
Sat Jun 22 15:07:15 2019	1561216035	0	259	260	259
Sat Jun 22 15:07:28 2019	1561216048	0	261	261	259
Sat Jun 22 15:07:36 2019	1561216056	0	262	262	262
Sat Jun 22 15:07:23 2019	1561216043	0	262	263	262
Sat Jun 22 15:07:17 2019	1561216037	0	263	263	262
Sat Jun 22 15:07:22 2019	1561216042	0	263	264	263
Sat Jun 22 15:07:43 2019	1561216063	0	264	265	264
Sat Jun 22 15:07:29 2019	1561216049	0	266	266	265
Sat Jun 22 15:07:36 2019	1561216056	0	266	266	254
Sat Jun 22 15:07:37 2019	1561216057	0	267	267	267
Sat Jun 22 15:07:22 2019	1561216042	0	268	268	268
