starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 22 15:08:37 2019	1561216117	0	17	17	17
Sat Jun 22 15:08:38 2019	1561216118	0	19	19	19
Sat Jun 22 15:08:32 2019	1561216112	0	19	19	19
Sat Jun 22 15:08:38 2019	1561216118	0	19	19	19
Sat Jun 22 15:08:39 2019	1561216119	0	19	20	19
Sat Jun 22 15:08:40 2019	1561216120	0	20	20	20
Sat Jun 22 15:08:29 2019	1561216109	0	21	21	20
Sat Jun 22 15:08:34 2019	1561216114	0	22	22	21
Sat Jun 22 15:08:35 2019	1561216115	0	22	22	22
Sat Jun 22 15:08:21 2019	1561216101	0	22	22	22
Sat Jun 22 15:08:31 2019	1561216111	0	22	22	22
Sat Jun 22 15:08:30 2019	1561216110	1	22	22	22
Sat Jun 22 15:08:33 2019	1561216113	0	22	22	22
Sat Jun 22 15:08:42 2019	1561216122	0	22	23	22
Sat Jun 22 15:08:41 2019	1561216121	0	22	23	22
Sat Jun 22 15:08:29 2019	1561216109	0	23	23	22
Sat Jun 22 15:08:25 2019	1561216105	0	23	23	23
Sat Jun 22 15:08:29 2019	1561216109	0	23	23	23
Sat Jun 22 15:08:35 2019	1561216115	0	23	23	23
Sat Jun 22 15:08:22 2019	1561216102	0	23	23	23
Sat Jun 22 15:08:43 2019	1561216123	0	23	23	23
Sat Jun 22 15:08:41 2019	1561216121	0	23	23	23
Sat Jun 22 15:08:41 2019	1561216121	0	23	23	23
Sat Jun 22 15:08:28 2019	1561216108	0	23	24	23
Sat Jun 22 15:08:35 2019	1561216115	0	24	24	23
Sat Jun 22 15:08:23 2019	1561216103	0	24	24	24
Sat Jun 22 15:08:40 2019	1561216120	0	24	24	24
Sat Jun 22 15:08:35 2019	1561216115	0	24	24	24
Sat Jun 22 15:08:41 2019	1561216121	0	24	24	24
Sat Jun 22 15:08:20 2019	1561216100	0	24	24	24
Sat Jun 22 15:08:28 2019	1561216108	0	25	25	25
Sat Jun 22 15:08:22 2019	1561216102	0	25	25	25
Sat Jun 22 15:08:25 2019	1561216105	0	25	26	25
Sat Jun 22 15:08:43 2019	1561216123	0	26	26	26
Sat Jun 22 15:08:33 2019	1561216113	0	26	26	26
Sat Jun 22 15:08:35 2019	1561216115	0	26	26	26
Sat Jun 22 15:08:30 2019	1561216110	1	26	26	26
Sat Jun 22 15:08:16 2019	1561216096	0	26	26	26
Sat Jun 22 15:08:33 2019	1561216113	0	26	26	26
Sat Jun 22 15:08:17 2019	1561216097	0	26	26	26
Sat Jun 22 15:08:40 2019	1561216120	0	26	27	26
Sat Jun 22 15:08:42 2019	1561216122	0	26	27	26
Sat Jun 22 15:08:35 2019	1561216115	0	26	27	26
Sat Jun 22 15:08:32 2019	1561216112	0	26	27	26
Sat Jun 22 15:08:31 2019	1561216111	0	26	27	26
Sat Jun 22 15:08:39 2019	1561216119	0	27	27	27
Sat Jun 22 15:08:32 2019	1561216112	0	27	27	26
Sat Jun 22 15:08:32 2019	1561216112	0	27	27	27
Sat Jun 22 15:08:37 2019	1561216117	0	27	27	27
Sat Jun 22 15:08:26 2019	1561216106	0	27	27	27
Sat Jun 22 15:08:24 2019	1561216104	0	27	27	27
Sat Jun 22 15:08:28 2019	1561216108	0	27	27	27
Sat Jun 22 15:08:36 2019	1561216116	0	27	27	27
Sat Jun 22 15:08:37 2019	1561216117	0	27	28	27
