starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 17 00:14:01 2019	1565993641	0	29	29	28
Sat Aug 17 00:14:10 2019	1565993650	0	203	203	184
Sat Aug 17 00:14:01 2019	1565993641	0	241	241	217
Sat Aug 17 00:14:18 2019	1565993658	0	256	256	227
Sat Aug 17 00:14:09 2019	1565993649	0	258	258	213
Sat Aug 17 00:14:02 2019	1565993642	0	260	260	220
Sat Aug 17 00:14:18 2019	1565993658	0	269	269	226
Sat Aug 17 00:14:24 2019	1565993664	0	276	276	254
Sat Aug 17 00:14:10 2019	1565993650	0	279	279	264
Sat Aug 17 00:14:06 2019	1565993646	0	281	281	269
Sat Aug 17 00:14:13 2019	1565993653	0	281	281	256
Sat Aug 17 00:14:23 2019	1565993663	0	282	282	243
Sat Aug 17 00:14:09 2019	1565993649	0	285	285	266
Sat Aug 17 00:14:10 2019	1565993650	0	287	287	248
Sat Aug 17 00:14:19 2019	1565993659	0	287	287	271
Sat Aug 17 00:14:05 2019	1565993645	0	288	288	239
Sat Aug 17 00:14:06 2019	1565993646	0	289	289	257
Sat Aug 17 00:14:03 2019	1565993643	0	291	291	257
Sat Aug 17 00:14:09 2019	1565993649	0	292	292	265
Sat Aug 17 00:14:12 2019	1565993652	0	292	292	266
Sat Aug 17 00:14:20 2019	1565993660	0	294	294	274
Sat Aug 17 00:14:10 2019	1565993650	0	295	295	263
Sat Aug 17 00:14:02 2019	1565993642	0	296	296	242
Sat Aug 17 00:14:19 2019	1565993659	0	296	296	280
Sat Aug 17 00:14:12 2019	1565993652	0	297	297	250
Sat Aug 17 00:14:19 2019	1565993659	0	297	297	273
Sat Aug 17 00:14:23 2019	1565993663	0	298	298	267
Sat Aug 17 00:14:13 2019	1565993653	0	299	299	267
Sat Aug 17 00:14:27 2019	1565993667	0	302	303	241
Sat Aug 17 00:14:23 2019	1565993663	0	303	303	281
Sat Aug 17 00:14:27 2019	1565993667	0	304	305	266
Sat Aug 17 00:14:12 2019	1565993652	0	305	305	286
Sat Aug 17 00:14:21 2019	1565993661	0	305	305	273
Sat Aug 17 00:14:15 2019	1565993655	0	307	307	259
Sat Aug 17 00:14:29 2019	1565993669	0	307	307	271
Sat Aug 17 00:14:08 2019	1565993648	0	307	307	277
Sat Aug 17 00:14:05 2019	1565993645	0	307	307	289
Sat Aug 17 00:14:17 2019	1565993657	0	307	307	283
Sat Aug 17 00:14:24 2019	1565993664	0	307	308	281
Sat Aug 17 00:14:21 2019	1565993661	0	308	308	279
Sat Aug 17 00:14:01 2019	1565993641	0	308	308	284
Sat Aug 17 00:14:15 2019	1565993655	0	309	309	248
Sat Aug 17 00:14:19 2019	1565993659	0	309	309	295
Sat Aug 17 00:14:08 2019	1565993648	0	309	309	276
Sat Aug 17 00:14:29 2019	1565993669	0	310	310	268
Sat Aug 17 00:14:23 2019	1565993663	0	310	310	267
Sat Aug 17 00:14:17 2019	1565993657	0	310	310	280
Sat Aug 17 00:14:20 2019	1565993660	0	311	311	271
Sat Aug 17 00:14:26 2019	1565993666	0	311	311	295
Sat Aug 17 00:14:14 2019	1565993654	0	312	312	284
Sat Aug 17 00:14:03 2019	1565993643	0	312	312	264
Sat Aug 17 00:14:15 2019	1565993655	0	312	312	276
Sat Aug 17 00:14:04 2019	1565993644	0	313	313	280
Sat Aug 17 00:14:03 2019	1565993643	0	314	314	279
Sat Aug 17 00:14:18 2019	1565993658	0	314	314	284
Sat Aug 17 00:14:25 2019	1565993665	0	315	315	293
Sat Aug 17 00:14:23 2019	1565993663	0	315	315	274
Sat Aug 17 00:14:29 2019	1565993669	0	315	315	276
Sat Aug 17 00:14:23 2019	1565993663	0	316	316	287
Sat Aug 17 00:14:30 2019	1565993670	0	316	316	285
Sat Aug 17 00:14:20 2019	1565993660	0	316	317	259
Sat Aug 17 00:14:06 2019	1565993646	0	318	318	294
Sat Aug 17 00:14:07 2019	1565993647	0	318	318	283
Sat Aug 17 00:14:11 2019	1565993651	0	319	319	271
Sat Aug 17 00:14:15 2019	1565993655	0	319	319	267
Sat Aug 17 00:14:05 2019	1565993645	0	319	319	263
Sat Aug 17 00:14:07 2019	1565993647	0	319	320	284
Sat Aug 17 00:14:28 2019	1565993668	0	319	320	287
Sat Aug 17 00:14:06 2019	1565993646	0	320	320	301
Sat Aug 17 00:14:16 2019	1565993656	0	320	320	274
Sat Aug 17 00:14:12 2019	1565993652	0	321	321	302
Sat Aug 17 00:14:03 2019	1565993643	0	321	321	275
Sat Aug 17 00:14:09 2019	1565993649	0	321	321	288
Sat Aug 17 00:14:22 2019	1565993662	0	321	322	294
Sat Aug 17 00:14:02 2019	1565993642	0	322	322	307
Sat Aug 17 00:14:19 2019	1565993659	0	322	322	282
Sat Aug 17 00:14:02 2019	1565993642	0	322	322	286
Sat Aug 17 00:14:27 2019	1565993667	0	322	323	279
Sat Aug 17 00:14:15 2019	1565993655	0	323	323	276
Sat Aug 17 00:14:04 2019	1565993644	0	323	323	280
Sat Aug 17 00:14:18 2019	1565993658	0	323	323	291
Sat Aug 17 00:14:07 2019	1565993647	0	323	323	260
Sat Aug 17 00:14:07 2019	1565993647	0	324	324	279
Sat Aug 17 00:14:14 2019	1565993654	0	324	324	288
Sat Aug 17 00:14:25 2019	1565993665	0	324	324	288
Sat Aug 17 00:14:24 2019	1565993664	0	325	325	307
Sat Aug 17 00:14:04 2019	1565993644	0	325	325	286
Sat Aug 17 00:14:20 2019	1565993660	0	326	326	290
Sat Aug 17 00:14:29 2019	1565993669	0	326	326	287
Sat Aug 17 00:14:25 2019	1565993665	0	326	326	288
Sat Aug 17 00:14:26 2019	1565993666	0	326	326	298
Sat Aug 17 00:14:15 2019	1565993655	0	326	326	291
Sat Aug 17 00:14:04 2019	1565993644	0	327	327	311
Sat Aug 17 00:14:04 2019	1565993644	0	327	327	298
Sat Aug 17 00:14:11 2019	1565993651	0	327	327	297
Sat Aug 17 00:14:27 2019	1565993667	0	327	327	320
Sat Aug 17 00:14:24 2019	1565993664	0	327	327	291
Sat Aug 17 00:14:30 2019	1565993670	0	328	328	312
Sat Aug 17 00:14:25 2019	1565993665	0	328	328	272
Sat Aug 17 00:14:02 2019	1565993642	0	328	328	281
Sat Aug 17 00:14:29 2019	1565993669	0	329	329	306
Sat Aug 17 00:14:10 2019	1565993650	0	329	329	288
Sat Aug 17 00:14:27 2019	1565993667	0	330	330	291
Sat Aug 17 00:14:19 2019	1565993659	0	330	330	277
Sat Aug 17 00:14:17 2019	1565993657	0	330	330	305
Sat Aug 17 00:14:02 2019	1565993642	0	331	331	310
Sat Aug 17 00:14:23 2019	1565993663	0	331	331	324
Sat Aug 17 00:14:30 2019	1565993670	0	332	332	288
Sat Aug 17 00:14:07 2019	1565993647	0	332	332	318
Sat Aug 17 00:14:01 2019	1565993641	0	333	333	309
Sat Aug 17 00:14:08 2019	1565993648	0	333	333	318
Sat Aug 17 00:14:30 2019	1565993670	0	334	334	306
Sat Aug 17 00:14:13 2019	1565993653	0	334	334	307
Sat Aug 17 00:14:04 2019	1565993644	0	334	334	279
Sat Aug 17 00:14:08 2019	1565993648	0	334	334	293
Sat Aug 17 00:14:28 2019	1565993668	0	334	334	322
Sat Aug 17 00:14:21 2019	1565993661	0	334	334	281
Sat Aug 17 00:14:25 2019	1565993665	0	334	334	308
Sat Aug 17 00:14:29 2019	1565993669	0	335	335	320
Sat Aug 17 00:14:02 2019	1565993642	0	335	335	303
Sat Aug 17 00:14:09 2019	1565993649	0	335	335	300
Sat Aug 17 00:14:16 2019	1565993656	0	335	335	275
Sat Aug 17 00:14:29 2019	1565993669	0	335	336	304
Sat Aug 17 00:14:24 2019	1565993664	0	336	336	285
Sat Aug 17 00:14:17 2019	1565993657	0	336	336	285
Sat Aug 17 00:14:03 2019	1565993643	0	336	336	305
Sat Aug 17 00:14:10 2019	1565993650	0	336	336	302
Sat Aug 17 00:14:25 2019	1565993665	0	336	336	320
Sat Aug 17 00:14:21 2019	1565993661	0	336	336	298
Sat Aug 17 00:14:13 2019	1565993653	0	336	336	306
Sat Aug 17 00:14:28 2019	1565993668	0	336	337	289
Sat Aug 17 00:14:24 2019	1565993664	0	337	337	308
Sat Aug 17 00:14:28 2019	1565993668	0	337	337	308
Sat Aug 17 00:14:29 2019	1565993669	0	337	337	270
Sat Aug 17 00:14:20 2019	1565993660	0	338	338	270
Sat Aug 17 00:14:18 2019	1565993658	0	338	338	303
Sat Aug 17 00:14:28 2019	1565993668	0	338	338	303
Sat Aug 17 00:14:26 2019	1565993666	0	338	338	273
Sat Aug 17 00:14:27 2019	1565993667	0	339	339	316
Sat Aug 17 00:14:19 2019	1565993659	0	339	339	307
Sat Aug 17 00:14:07 2019	1565993647	0	339	340	305
Sat Aug 17 00:14:07 2019	1565993647	0	340	340	311
Sat Aug 17 00:14:28 2019	1565993668	0	341	341	312
Sat Aug 17 00:14:07 2019	1565993647	0	341	341	306
Sat Aug 17 00:14:18 2019	1565993658	0	342	342	290
Sat Aug 17 00:14:27 2019	1565993667	0	342	342	299
Sat Aug 17 00:14:17 2019	1565993657	0	342	342	315
Sat Aug 17 00:14:01 2019	1565993641	0	342	343	316
Sat Aug 17 00:14:21 2019	1565993661	0	343	343	289
Sat Aug 17 00:14:30 2019	1565993670	0	343	343	291
Sat Aug 17 00:14:27 2019	1565993667	0	344	344	291
Sat Aug 17 00:14:31 2019	1565993671	0	344	344	324
Sat Aug 17 00:14:05 2019	1565993645	0	344	344	297
Sat Aug 17 00:14:22 2019	1565993662	0	344	344	320
Sat Aug 17 00:14:16 2019	1565993656	0	344	344	317
Sat Aug 17 00:14:15 2019	1565993655	0	344	344	319
Sat Aug 17 00:14:14 2019	1565993654	0	345	345	300
Sat Aug 17 00:14:16 2019	1565993656	0	345	345	318
Sat Aug 17 00:14:21 2019	1565993661	0	346	346	285
Sat Aug 17 00:14:15 2019	1565993655	0	346	346	301
Sat Aug 17 00:14:22 2019	1565993662	0	346	346	308
Sat Aug 17 00:14:17 2019	1565993657	0	346	346	282
Sat Aug 17 00:14:23 2019	1565993663	0	346	347	325
Sat Aug 17 00:14:13 2019	1565993653	0	347	347	281
Sat Aug 17 00:14:09 2019	1565993649	0	347	347	300
Sat Aug 17 00:14:10 2019	1565993650	0	347	347	318
Sat Aug 17 00:14:18 2019	1565993658	0	347	347	309
Sat Aug 17 00:14:03 2019	1565993643	0	347	347	301
Sat Aug 17 00:14:26 2019	1565993666	0	347	347	281
Sat Aug 17 00:14:16 2019	1565993656	0	348	348	317
Sat Aug 17 00:14:07 2019	1565993647	0	348	348	326
Sat Aug 17 00:14:11 2019	1565993651	0	348	348	292
Sat Aug 17 00:14:29 2019	1565993669	0	348	348	286
Sat Aug 17 00:14:07 2019	1565993647	0	349	349	303
Sat Aug 17 00:14:11 2019	1565993651	0	349	349	316
Sat Aug 17 00:14:17 2019	1565993657	0	349	349	317
Sat Aug 17 00:14:03 2019	1565993643	0	349	349	317
