starttime	seconds	ctime	dtime	ttime	wait
Sat Aug 17 00:14:31 2019	1565993671	0	34	34	33
Sat Aug 17 00:14:51 2019	1565993691	0	34	34	34
Sat Aug 17 00:14:59 2019	1565993699	0	35	35	34
Sat Aug 17 00:14:37 2019	1565993677	0	35	35	34
Sat Aug 17 00:14:47 2019	1565993687	0	35	35	34
Sat Aug 17 00:14:50 2019	1565993690	0	35	35	34
Sat Aug 17 00:14:35 2019	1565993675	0	35	35	34
Sat Aug 17 00:14:46 2019	1565993686	0	35	35	35
Sat Aug 17 00:14:48 2019	1565993688	0	35	35	35
Sat Aug 17 00:14:55 2019	1565993695	0	35	35	35
Sat Aug 17 00:14:59 2019	1565993699	0	35	35	35
Sat Aug 17 00:14:43 2019	1565993683	0	35	35	35
Sat Aug 17 00:14:37 2019	1565993677	0	35	35	35
Sat Aug 17 00:14:41 2019	1565993681	0	35	35	35
Sat Aug 17 00:14:57 2019	1565993697	0	35	35	35
Sat Aug 17 00:14:56 2019	1565993696	0	35	35	35
Sat Aug 17 00:14:41 2019	1565993681	0	35	35	35
Sat Aug 17 00:14:40 2019	1565993680	0	35	36	35
Sat Aug 17 00:14:57 2019	1565993697	0	35	36	35
Sat Aug 17 00:14:53 2019	1565993693	0	36	36	35
Sat Aug 17 00:14:58 2019	1565993698	0	36	36	35
Sat Aug 17 00:14:59 2019	1565993699	0	35	36	35
Sat Aug 17 00:14:41 2019	1565993681	0	36	36	35
Sat Aug 17 00:14:40 2019	1565993680	0	36	36	35
Sat Aug 17 00:14:53 2019	1565993693	0	36	36	35
Sat Aug 17 00:14:58 2019	1565993698	0	36	36	35
Sat Aug 17 00:15:00 2019	1565993700	0	36	36	35
Sat Aug 17 00:14:41 2019	1565993681	0	36	36	35
Sat Aug 17 00:14:48 2019	1565993688	0	36	36	35
Sat Aug 17 00:14:48 2019	1565993688	0	36	36	35
Sat Aug 17 00:14:46 2019	1565993686	0	36	36	35
Sat Aug 17 00:14:47 2019	1565993687	0	36	36	35
Sat Aug 17 00:15:01 2019	1565993701	0	36	36	35
Sat Aug 17 00:14:52 2019	1565993692	0	36	36	35
Sat Aug 17 00:14:44 2019	1565993684	0	36	36	36
Sat Aug 17 00:14:43 2019	1565993683	0	36	36	35
Sat Aug 17 00:14:56 2019	1565993696	0	36	36	35
Sat Aug 17 00:14:43 2019	1565993683	0	36	36	35
Sat Aug 17 00:14:44 2019	1565993684	0	36	36	35
Sat Aug 17 00:14:47 2019	1565993687	0	36	36	35
Sat Aug 17 00:15:00 2019	1565993700	0	36	36	35
Sat Aug 17 00:14:57 2019	1565993697	0	36	36	35
Sat Aug 17 00:14:52 2019	1565993692	0	36	36	35
Sat Aug 17 00:14:46 2019	1565993686	0	36	36	36
Sat Aug 17 00:14:42 2019	1565993682	0	36	36	35
Sat Aug 17 00:14:41 2019	1565993681	0	36	36	36
Sat Aug 17 00:14:36 2019	1565993676	0	36	36	35
Sat Aug 17 00:15:00 2019	1565993700	0	36	36	36
Sat Aug 17 00:14:50 2019	1565993690	0	36	36	36
Sat Aug 17 00:14:51 2019	1565993691	0	36	36	36
Sat Aug 17 00:15:01 2019	1565993701	0	36	36	36
Sat Aug 17 00:14:49 2019	1565993689	0	36	36	35
Sat Aug 17 00:14:54 2019	1565993694	0	36	36	36
Sat Aug 17 00:14:36 2019	1565993676	0	36	36	35
Sat Aug 17 00:14:59 2019	1565993699	0	36	36	35
Sat Aug 17 00:14:49 2019	1565993689	0	36	36	36
Sat Aug 17 00:14:46 2019	1565993686	0	36	36	36
Sat Aug 17 00:14:58 2019	1565993698	0	36	36	35
Sat Aug 17 00:14:56 2019	1565993696	0	36	36	35
Sat Aug 17 00:14:52 2019	1565993692	0	36	36	36
Sat Aug 17 00:14:53 2019	1565993693	0	36	36	36
Sat Aug 17 00:15:01 2019	1565993701	0	36	36	35
Sat Aug 17 00:14:41 2019	1565993681	0	36	36	36
Sat Aug 17 00:14:56 2019	1565993696	0	36	36	36
Sat Aug 17 00:14:48 2019	1565993688	0	36	36	36
Sat Aug 17 00:14:57 2019	1565993697	0	36	36	35
Sat Aug 17 00:14:55 2019	1565993695	0	36	36	36
Sat Aug 17 00:15:01 2019	1565993701	0	36	36	36
Sat Aug 17 00:14:37 2019	1565993677	0	36	36	36
Sat Aug 17 00:14:36 2019	1565993676	0	36	36	36
Sat Aug 17 00:14:38 2019	1565993678	0	36	36	36
Sat Aug 17 00:14:48 2019	1565993688	0	36	36	36
Sat Aug 17 00:15:00 2019	1565993700	0	36	36	36
Sat Aug 17 00:14:40 2019	1565993680	0	36	36	36
Sat Aug 17 00:14:40 2019	1565993680	0	36	36	36
Sat Aug 17 00:14:49 2019	1565993689	0	36	36	36
Sat Aug 17 00:14:37 2019	1565993677	0	36	36	36
Sat Aug 17 00:14:49 2019	1565993689	0	36	36	36
Sat Aug 17 00:14:33 2019	1565993673	0	36	36	36
Sat Aug 17 00:14:47 2019	1565993687	0	36	36	36
Sat Aug 17 00:14:53 2019	1565993693	0	36	36	36
Sat Aug 17 00:14:35 2019	1565993675	0	36	36	36
Sat Aug 17 00:14:39 2019	1565993679	0	36	36	36
Sat Aug 17 00:14:38 2019	1565993678	0	36	36	36
Sat Aug 17 00:15:00 2019	1565993700	0	36	36	36
Sat Aug 17 00:14:33 2019	1565993673	0	36	36	36
Sat Aug 17 00:14:38 2019	1565993678	0	36	36	36
Sat Aug 17 00:14:58 2019	1565993698	0	36	36	36
Sat Aug 17 00:14:59 2019	1565993699	0	36	36	36
Sat Aug 17 00:14:47 2019	1565993687	0	36	36	36
Sat Aug 17 00:14:35 2019	1565993675	0	36	36	36
Sat Aug 17 00:14:35 2019	1565993675	0	36	36	36
Sat Aug 17 00:14:46 2019	1565993686	0	36	36	36
Sat Aug 17 00:14:51 2019	1565993691	0	36	36	36
Sat Aug 17 00:14:33 2019	1565993673	0	36	36	36
Sat Aug 17 00:14:53 2019	1565993693	0	36	36	36
Sat Aug 17 00:14:39 2019	1565993679	0	36	36	36
Sat Aug 17 00:14:46 2019	1565993686	0	36	36	36
Sat Aug 17 00:14:53 2019	1565993693	0	36	36	36
Sat Aug 17 00:15:00 2019	1565993700	0	36	36	36
Sat Aug 17 00:14:41 2019	1565993681	0	36	36	36
Sat Aug 17 00:14:41 2019	1565993681	0	36	36	36
Sat Aug 17 00:14:49 2019	1565993689	0	36	36	36
Sat Aug 17 00:14:56 2019	1565993696	0	36	36	36
Sat Aug 17 00:14:48 2019	1565993688	0	36	36	36
Sat Aug 17 00:14:56 2019	1565993696	0	36	36	36
