starttime	seconds	ctime	dtime	ttime	wait
Sat Jun 22 15:08:45 2019	1561216125	0	194	195	189
Sat Jun 22 15:08:51 2019	1561216131	0	208	208	199
Sat Jun 22 15:08:46 2019	1561216126	0	210	210	199
Sat Jun 22 15:08:53 2019	1561216133	0	217	218	204
Sat Jun 22 15:08:47 2019	1561216127	0	222	222	210
Sat Jun 22 15:08:52 2019	1561216132	0	224	224	193
Sat Jun 22 15:08:55 2019	1561216135	0	227	227	214
Sat Jun 22 15:08:48 2019	1561216128	0	228	229	212
Sat Jun 22 15:08:46 2019	1561216126	0	228	229	218
Sat Jun 22 15:08:48 2019	1561216128	0	228	229	202
Sat Jun 22 15:08:46 2019	1561216126	0	231	231	198
Sat Jun 22 15:08:47 2019	1561216127	0	232	233	222
Sat Jun 22 15:08:48 2019	1561216128	0	233	234	204
Sat Jun 22 15:08:49 2019	1561216129	0	235	235	230
Sat Jun 22 15:09:11 2019	1561216151	0	236	236	231
Sat Jun 22 15:08:44 2019	1561216124	0	236	237	212
Sat Jun 22 15:08:46 2019	1561216126	0	237	237	219
Sat Jun 22 15:08:55 2019	1561216135	0	237	237	222
Sat Jun 22 15:08:51 2019	1561216131	0	237	238	224
Sat Jun 22 15:08:48 2019	1561216128	0	238	239	222
Sat Jun 22 15:08:45 2019	1561216125	0	239	239	210
Sat Jun 22 15:08:45 2019	1561216125	0	239	240	167
Sat Jun 22 15:09:08 2019	1561216148	0	241	241	214
Sat Jun 22 15:09:04 2019	1561216144	0	241	242	237
Sat Jun 22 15:08:48 2019	1561216128	0	242	242	211
Sat Jun 22 15:08:44 2019	1561216124	0	242	243	203
Sat Jun 22 15:08:53 2019	1561216133	0	243	244	235
Sat Jun 22 15:08:44 2019	1561216124	0	243	244	243
Sat Jun 22 15:08:48 2019	1561216128	0	244	244	210
Sat Jun 22 15:09:02 2019	1561216142	0	245	245	222
Sat Jun 22 15:08:51 2019	1561216131	0	245	245	231
Sat Jun 22 15:08:53 2019	1561216133	0	247	247	225
Sat Jun 22 15:08:54 2019	1561216134	0	247	247	238
Sat Jun 22 15:08:49 2019	1561216129	0	247	247	231
Sat Jun 22 15:08:50 2019	1561216130	0	247	247	241
Sat Jun 22 15:08:46 2019	1561216126	0	248	248	225
Sat Jun 22 15:08:49 2019	1561216129	0	248	249	236
Sat Jun 22 15:08:51 2019	1561216131	0	248	249	238
Sat Jun 22 15:08:49 2019	1561216129	0	249	249	227
Sat Jun 22 15:08:54 2019	1561216134	0	249	249	230
Sat Jun 22 15:08:44 2019	1561216124	0	250	250	201
Sat Jun 22 15:08:49 2019	1561216129	0	250	250	229
Sat Jun 22 15:08:52 2019	1561216132	0	251	251	231
Sat Jun 22 15:08:53 2019	1561216133	0	251	252	240
Sat Jun 22 15:08:44 2019	1561216124	0	251	252	225
Sat Jun 22 15:08:54 2019	1561216134	0	252	252	233
Sat Jun 22 15:08:55 2019	1561216135	0	252	252	222
Sat Jun 22 15:08:49 2019	1561216129	0	252	252	234
Sat Jun 22 15:08:46 2019	1561216126	0	252	252	224
Sat Jun 22 15:08:45 2019	1561216125	0	252	252	219
Sat Jun 22 15:08:52 2019	1561216132	0	252	252	237
Sat Jun 22 15:08:44 2019	1561216124	0	252	252	237
Sat Jun 22 15:08:49 2019	1561216129	0	252	253	225
Sat Jun 22 15:08:46 2019	1561216126	0	252	253	240
Sat Jun 22 15:08:55 2019	1561216135	0	253	253	229
Sat Jun 22 15:08:44 2019	1561216124	0	253	253	221
Sat Jun 22 15:08:51 2019	1561216131	0	253	253	232
Sat Jun 22 15:08:46 2019	1561216126	0	253	253	225
Sat Jun 22 15:08:50 2019	1561216130	1	252	253	223
Sat Jun 22 15:08:47 2019	1561216127	0	253	253	247
Sat Jun 22 15:08:53 2019	1561216133	0	253	253	232
Sat Jun 22 15:08:54 2019	1561216134	0	253	253	216
Sat Jun 22 15:08:44 2019	1561216124	0	253	254	216
Sat Jun 22 15:08:51 2019	1561216131	0	254	254	240
Sat Jun 22 15:08:46 2019	1561216126	0	254	255	240
Sat Jun 22 15:08:49 2019	1561216129	0	255	255	233
Sat Jun 22 15:08:51 2019	1561216131	0	255	255	218
Sat Jun 22 15:08:47 2019	1561216127	0	255	256	231
Sat Jun 22 15:08:45 2019	1561216125	0	255	256	211
Sat Jun 22 15:08:55 2019	1561216135	0	255	256	215
Sat Jun 22 15:08:53 2019	1561216133	0	255	256	194
Sat Jun 22 15:08:55 2019	1561216135	0	256	256	200
Sat Jun 22 15:09:09 2019	1561216149	0	256	257	231
Sat Jun 22 15:08:51 2019	1561216131	0	257	257	219
Sat Jun 22 15:08:50 2019	1561216130	0	257	257	230
Sat Jun 22 15:08:54 2019	1561216134	0	257	257	236
Sat Jun 22 15:09:11 2019	1561216151	0	258	258	238
Sat Jun 22 15:08:44 2019	1561216124	0	258	258	226
Sat Jun 22 15:08:53 2019	1561216133	0	258	259	253
Sat Jun 22 15:08:51 2019	1561216131	0	258	259	218
Sat Jun 22 15:08:51 2019	1561216131	0	259	259	215
Sat Jun 22 15:08:49 2019	1561216129	0	259	259	230
Sat Jun 22 15:08:43 2019	1561216123	0	259	259	252
Sat Jun 22 15:08:48 2019	1561216128	0	259	259	233
Sat Jun 22 15:08:50 2019	1561216130	0	259	259	239
Sat Jun 22 15:08:45 2019	1561216125	0	259	260	224
Sat Jun 22 15:08:44 2019	1561216124	0	259	260	234
Sat Jun 22 15:08:45 2019	1561216125	0	260	261	223
Sat Jun 22 15:08:45 2019	1561216125	0	261	261	256
Sat Jun 22 15:08:45 2019	1561216125	0	261	261	243
Sat Jun 22 15:08:50 2019	1561216130	0	261	261	240
Sat Jun 22 15:08:49 2019	1561216129	0	261	261	250
Sat Jun 22 15:09:01 2019	1561216141	0	262	262	253
Sat Jun 22 15:08:49 2019	1561216129	0	262	262	242
Sat Jun 22 15:08:50 2019	1561216130	0	262	263	226
Sat Jun 22 15:08:50 2019	1561216130	0	263	263	248
Sat Jun 22 15:08:50 2019	1561216130	0	263	263	254
Sat Jun 22 15:08:49 2019	1561216129	0	263	263	255
Sat Jun 22 15:08:46 2019	1561216126	0	264	264	239
Sat Jun 22 15:08:52 2019	1561216132	0	265	266	253
Sat Jun 22 15:08:58 2019	1561216138	0	265	266	256
Sat Jun 22 15:09:03 2019	1561216143	0	266	266	239
Sat Jun 22 15:08:52 2019	1561216132	0	266	267	228
Sat Jun 22 15:08:46 2019	1561216126	0	266	267	259
Sat Jun 22 15:08:50 2019	1561216130	0	266	267	246
Sat Jun 22 15:08:46 2019	1561216126	0	267	267	240
Sat Jun 22 15:08:48 2019	1561216128	0	267	267	250
Sat Jun 22 15:08:44 2019	1561216124	0	267	267	245
Sat Jun 22 15:08:46 2019	1561216126	0	267	267	256
Sat Jun 22 15:08:47 2019	1561216127	0	267	267	251
Sat Jun 22 15:08:48 2019	1561216128	0	267	268	256
Sat Jun 22 15:08:43 2019	1561216123	0	268	268	261
Sat Jun 22 15:08:46 2019	1561216126	0	268	268	238
Sat Jun 22 15:08:44 2019	1561216124	0	268	268	254
Sat Jun 22 15:08:49 2019	1561216129	0	268	269	247
Sat Jun 22 15:08:53 2019	1561216133	0	269	269	249
Sat Jun 22 15:08:54 2019	1561216134	0	269	269	249
Sat Jun 22 15:09:01 2019	1561216141	0	269	269	247
Sat Jun 22 15:08:45 2019	1561216125	0	269	269	239
Sat Jun 22 15:08:48 2019	1561216128	0	269	269	249
Sat Jun 22 15:09:00 2019	1561216140	0	269	269	253
Sat Jun 22 15:08:50 2019	1561216130	0	269	269	230
Sat Jun 22 15:08:48 2019	1561216128	0	269	270	241
Sat Jun 22 15:08:46 2019	1561216126	0	270	270	261
Sat Jun 22 15:08:48 2019	1561216128	0	270	271	229
Sat Jun 22 15:08:50 2019	1561216130	0	271	271	253
Sat Jun 22 15:08:46 2019	1561216126	0	271	271	254
Sat Jun 22 15:08:54 2019	1561216134	0	271	271	245
Sat Jun 22 15:08:52 2019	1561216132	0	271	271	219
Sat Jun 22 15:09:10 2019	1561216150	0	271	272	254
Sat Jun 22 15:09:11 2019	1561216151	0	271	272	242
Sat Jun 22 15:08:51 2019	1561216131	1	271	272	251
Sat Jun 22 15:08:53 2019	1561216133	0	272	272	237
Sat Jun 22 15:08:47 2019	1561216127	0	273	273	234
Sat Jun 22 15:08:52 2019	1561216132	0	274	274	238
Sat Jun 22 15:09:03 2019	1561216143	0	275	275	249
Sat Jun 22 15:08:44 2019	1561216124	0	275	275	260
Sat Jun 22 15:08:46 2019	1561216126	0	275	275	228
Sat Jun 22 15:08:43 2019	1561216123	0	275	275	256
Sat Jun 22 15:08:47 2019	1561216127	0	275	276	248
Sat Jun 22 15:08:46 2019	1561216126	0	276	276	214
Sat Jun 22 15:08:46 2019	1561216126	0	276	276	249
Sat Jun 22 15:08:49 2019	1561216129	0	276	276	260
Sat Jun 22 15:08:56 2019	1561216136	0	277	277	269
Sat Jun 22 15:08:58 2019	1561216138	0	277	278	261
Sat Jun 22 15:08:52 2019	1561216132	0	278	278	251
Sat Jun 22 15:08:44 2019	1561216124	0	278	278	249
Sat Jun 22 15:08:52 2019	1561216132	0	278	278	266
Sat Jun 22 15:09:00 2019	1561216140	0	278	279	240
Sat Jun 22 15:08:48 2019	1561216128	0	278	279	257
Sat Jun 22 15:08:48 2019	1561216128	0	278	279	255
Sat Jun 22 15:08:45 2019	1561216125	0	279	279	232
Sat Jun 22 15:08:50 2019	1561216130	0	279	279	250
Sat Jun 22 15:08:51 2019	1561216131	0	279	279	253
Sat Jun 22 15:09:01 2019	1561216141	0	280	280	276
Sat Jun 22 15:08:55 2019	1561216135	0	280	280	271
Sat Jun 22 15:08:50 2019	1561216130	0	280	280	265
Sat Jun 22 15:08:53 2019	1561216133	0	280	280	270
Sat Jun 22 15:08:50 2019	1561216130	0	280	281	255
Sat Jun 22 15:08:49 2019	1561216129	0	281	281	221
Sat Jun 22 15:08:44 2019	1561216124	0	281	281	258
Sat Jun 22 15:08:55 2019	1561216135	0	281	281	258
Sat Jun 22 15:08:49 2019	1561216129	0	281	281	263
Sat Jun 22 15:08:47 2019	1561216127	0	281	281	263
Sat Jun 22 15:08:47 2019	1561216127	0	281	281	256
Sat Jun 22 15:09:00 2019	1561216140	0	281	281	245
Sat Jun 22 15:09:05 2019	1561216145	0	281	282	257
Sat Jun 22 15:08:49 2019	1561216129	0	281	282	255
Sat Jun 22 15:08:53 2019	1561216133	0	281	282	232
Sat Jun 22 15:08:55 2019	1561216135	0	282	282	270
Sat Jun 22 15:08:54 2019	1561216134	0	282	283	277
Sat Jun 22 15:08:52 2019	1561216132	0	283	283	256
Sat Jun 22 15:09:05 2019	1561216145	0	283	283	268
Sat Jun 22 15:08:53 2019	1561216133	0	283	283	273
Sat Jun 22 15:08:54 2019	1561216134	0	283	283	276
Sat Jun 22 15:08:54 2019	1561216134	0	283	283	243
Sat Jun 22 15:09:11 2019	1561216151	0	283	283	272
Sat Jun 22 15:08:51 2019	1561216131	0	283	284	255
Sat Jun 22 15:09:07 2019	1561216147	0	284	284	261
Sat Jun 22 15:08:45 2019	1561216125	0	284	284	250
Sat Jun 22 15:08:43 2019	1561216123	0	284	284	267
Sat Jun 22 15:08:43 2019	1561216123	0	284	284	278
Sat Jun 22 15:08:46 2019	1561216126	0	284	284	259
Sat Jun 22 15:08:52 2019	1561216132	0	284	285	246
Sat Jun 22 15:09:11 2019	1561216151	0	285	285	260
Sat Jun 22 15:08:52 2019	1561216132	0	284	285	249
Sat Jun 22 15:08:50 2019	1561216130	0	284	285	272
Sat Jun 22 15:08:48 2019	1561216128	0	284	285	268
Sat Jun 22 15:09:10 2019	1561216150	0	285	285	257
Sat Jun 22 15:08:48 2019	1561216128	0	285	285	240
Sat Jun 22 15:08:53 2019	1561216133	0	285	285	269
Sat Jun 22 15:08:55 2019	1561216135	0	285	286	242
Sat Jun 22 15:08:46 2019	1561216126	0	286	286	253
Sat Jun 22 15:08:50 2019	1561216130	0	286	286	248
Sat Jun 22 15:09:10 2019	1561216150	0	286	286	262
Sat Jun 22 15:08:58 2019	1561216138	0	286	286	246
Sat Jun 22 15:08:57 2019	1561216137	0	286	287	249
Sat Jun 22 15:08:43 2019	1561216123	0	286	287	248
Sat Jun 22 15:08:43 2019	1561216123	0	287	287	252
Sat Jun 22 15:09:11 2019	1561216151	0	287	287	269
Sat Jun 22 15:08:51 2019	1561216131	0	287	288	261
Sat Jun 22 15:08:45 2019	1561216125	0	288	288	271
Sat Jun 22 15:08:48 2019	1561216128	0	288	288	247
Sat Jun 22 15:08:47 2019	1561216127	0	288	289	278
Sat Jun 22 15:09:03 2019	1561216143	0	288	289	254
Sat Jun 22 15:08:50 2019	1561216130	0	289	289	274
Sat Jun 22 15:08:54 2019	1561216134	0	289	290	284
Sat Jun 22 15:08:46 2019	1561216126	0	290	290	282
Sat Jun 22 15:08:45 2019	1561216125	0	290	290	267
Sat Jun 22 15:08:53 2019	1561216133	0	290	290	271
Sat Jun 22 15:08:46 2019	1561216126	0	291	291	281
Sat Jun 22 15:08:45 2019	1561216125	0	291	291	251
Sat Jun 22 15:08:51 2019	1561216131	0	292	292	235
Sat Jun 22 15:08:50 2019	1561216130	0	292	292	271
Sat Jun 22 15:08:55 2019	1561216135	0	292	292	269
Sat Jun 22 15:08:46 2019	1561216126	0	293	293	269
Sat Jun 22 15:08:44 2019	1561216124	0	293	293	264
Sat Jun 22 15:08:50 2019	1561216130	0	293	293	274
Sat Jun 22 15:08:47 2019	1561216127	0	293	293	263
Sat Jun 22 15:08:53 2019	1561216133	0	294	294	277
Sat Jun 22 15:08:51 2019	1561216131	0	294	294	258
Sat Jun 22 15:08:47 2019	1561216127	0	294	294	284
Sat Jun 22 15:09:05 2019	1561216145	0	294	295	264
Sat Jun 22 15:08:50 2019	1561216130	0	295	295	253
Sat Jun 22 15:08:46 2019	1561216126	0	295	295	282
Sat Jun 22 15:08:45 2019	1561216125	0	295	295	284
Sat Jun 22 15:08:44 2019	1561216124	0	295	295	276
Sat Jun 22 15:08:44 2019	1561216124	0	295	295	267
Sat Jun 22 15:08:52 2019	1561216132	0	295	295	282
Sat Jun 22 15:08:48 2019	1561216128	0	295	296	250
Sat Jun 22 15:08:50 2019	1561216130	0	295	296	263
Sat Jun 22 15:09:01 2019	1561216141	0	295	296	270
Sat Jun 22 15:08:53 2019	1561216133	0	295	296	272
Sat Jun 22 15:09:07 2019	1561216147	0	296	296	273
Sat Jun 22 15:08:55 2019	1561216135	0	296	296	280
Sat Jun 22 15:08:54 2019	1561216134	0	296	296	274
Sat Jun 22 15:09:00 2019	1561216140	0	296	296	240
Sat Jun 22 15:08:47 2019	1561216127	0	296	296	257
Sat Jun 22 15:08:51 2019	1561216131	0	296	296	286
Sat Jun 22 15:09:01 2019	1561216141	0	296	297	257
Sat Jun 22 15:08:51 2019	1561216131	0	296	297	278
Sat Jun 22 15:09:11 2019	1561216151	0	297	297	255
Sat Jun 22 15:09:04 2019	1561216144	0	297	297	261
Sat Jun 22 15:08:51 2019	1561216131	0	297	297	280
Sat Jun 22 15:09:00 2019	1561216140	0	297	297	272
Sat Jun 22 15:09:04 2019	1561216144	0	297	298	274
Sat Jun 22 15:08:53 2019	1561216133	0	298	298	273
Sat Jun 22 15:08:46 2019	1561216126	0	298	298	263
Sat Jun 22 15:08:44 2019	1561216124	0	298	298	279
Sat Jun 22 15:08:46 2019	1561216126	0	298	298	226
Sat Jun 22 15:08:51 2019	1561216131	0	298	298	283
Sat Jun 22 15:08:46 2019	1561216126	0	298	298	254
Sat Jun 22 15:09:04 2019	1561216144	0	298	298	273
Sat Jun 22 15:08:47 2019	1561216127	0	299	300	287
Sat Jun 22 15:09:09 2019	1561216149	0	299	300	287
Sat Jun 22 15:09:02 2019	1561216142	0	300	300	253
Sat Jun 22 15:09:11 2019	1561216151	0	300	300	276
Sat Jun 22 15:08:52 2019	1561216132	0	300	300	278
Sat Jun 22 15:09:04 2019	1561216144	0	300	300	274
Sat Jun 22 15:08:54 2019	1561216134	0	300	300	262
Sat Jun 22 15:08:49 2019	1561216129	0	300	300	288
Sat Jun 22 15:08:50 2019	1561216130	0	300	301	268
Sat Jun 22 15:08:50 2019	1561216130	0	300	301	268
Sat Jun 22 15:08:43 2019	1561216123	0	300	301	289
Sat Jun 22 15:08:55 2019	1561216135	0	301	301	288
Sat Jun 22 15:09:09 2019	1561216149	0	301	301	280
Sat Jun 22 15:08:48 2019	1561216128	0	301	301	289
Sat Jun 22 15:08:55 2019	1561216135	0	301	301	281
Sat Jun 22 15:09:11 2019	1561216151	0	301	301	283
Sat Jun 22 15:08:50 2019	1561216130	0	301	302	274
Sat Jun 22 15:08:48 2019	1561216128	0	301	302	262
Sat Jun 22 15:08:58 2019	1561216138	0	302	302	273
Sat Jun 22 15:08:53 2019	1561216133	0	302	302	296
